Year,Pasture,Patch,Pasture_Patch_Year,Robel.N,Robel.E,Robel.S,Robel.W,Avg_Robel,SD_Robel,WSG,Fescue,Sedges,CSG,Forbs,Legumes,Woody,Violets,Bare,Litter,Litter_dep,Panic,Seed_mix,Angle_of_O
2014,235,C,235_C_2014,0,1,0,0,0.25,0.5,16,3,38,3,16,16,0,0,16,63,0,0,3,.
2014,235,C,235_C_2014,0,0,2,0,0.5,1,3,1,3,3,16,1,0,0,3,86,1,0,16,.
2014,235,C,235_C_2014,0,1,1,0,0.5,0.577350269,38,0,3,0,38,0,0,0,63,16,0,0,3,.
2014,235,C,235_C_2014,1,6,1,1,2.25,2.5,38,1,3,3,16,0,3,0,0,38,0,0,3,.
2014,235,C,235_C_2014,1,2,1,1,1.25,0.5,63,0,3,3,3,3,0,0,38,38,0,0,1,.
2014,235,C,235_C_2014,1,1,1,1,1,0,16,38,3,0,16,3,0,0,16,63,0,1,3,.
2014,235,C,235_C_2014,1,1,2,1,1.25,0.5,16,0,3,3,38,0,0,0,38,63,0,0,38,.
2014,235,C,235_C_2014,0,1,0,0,0.25,0.5,3,3,3,0,16,63,0,0,38,16,0,0,0,.
2014,235,C,235_C_2014,0,0,0,0,0,0,16,16,3,0,16,3,0,0,38,38,0,0,0,.
2014,235,C,235_C_2014,0,0,1,0,0.25,0.5,16,0,16,0,16,0,0,0,16,63,0,0,3,.
2014,235,C,235_C_2014,1,0,0,0,0.25,0.5,16,3,16,0,3,1,1,0,16,63,0.5,0,0,.
2014,235,C,235_C_2014,0,0,0,0,0,0,16,0,3,0,16,3,0,0,63,16,0,0,3,.
2014,235,C,235_C_2014,1,1,0,1,0.75,0.5,38,3,3,0,3,3,0,0,16,86,1,0,3,.
2014,235,C,235_C_2014,0,1,0,0,0.25,0.5,3,3,3,0,38,16,0,0,3,86,0,0,16,.
2014,235,C,235_C_2014,0,1,1,1,0.75,0.5,0,3,38,0,16,3,0,0,3,86,3,0,0,.
2014,235,C,235_C_2014,1,0,1,1,0.75,0.5,3,0,16,0,63,0,0,0,86,3,0,0,0,.
2014,235,C,235_C_2014,2,7,5,2,4,2.449489743,1,0,3,0,63,3,0,0,86,3,0,0,3,.
2014,235,C,235_C_2014,0,0,0,0,0,0,3,0,38,0,38,3,0,0,63,3,0,0,0,.
2014,235,C,235_C_2014,0,0,0,0,0,0,0,0,16,0,63,16,0,0,86,3,0,0,3,.
2014,235,C,235_C_2014,1,1,1,2,1.25,0.5,0,0,16,3,63,0,0,0,38,38,0,0,3,.
2014,235,C,235_C_2014,1,1,1,2,1.25,0.5,1,0,38,0,38,3,0,0,16,63,0,0,0,.
2014,235,C,235_C_2014,0,1,0,0,0.25,0.5,3,0,16,0,63,3,0,0,63,16,0,0,3,.
2014,235,C,235_C_2014,2,3,3,3,2.75,0.5,0,0,63,0,38,0,0,3,3,86,0,0,16,.
2014,235,C,235_C_2014,3,3,3,3,3,0,0,0,86,16,3,0,3,3,0,86,0,0,0,.
2014,235,C,235_C_2014,1,2,0,0,0.75,0.957427108,0,0,3,0,63,16,0,0,86,3,0,0,3,.
2014,235,C,235_C_2014,5,4,1,4,3.5,1.732050808,3,0,16,0,63,3,0,0,1,86,0,0,3,.
2014,235,C,235_C_2014,1,4,1,1,1.75,1.5,3,0,16,3,63,3,0,0,63,16,0,1,1,.
2014,235,C,235_C_2014,0,0,0,0,0,0,3,0,3,3,63,3,0,0,86,16,0,0,3,.
2014,235,C,235_C_2014,3,4,3,3,3.25,0.5,0,0,16,0,63,3,0,0,16,63,0,1,0,.
2014,235,C,235_C_2014,1,0,0,1,0.5,0.577350269,3,0,16,0,63,3,0,0,86,3,0,0,3,.
2014,235,N,235_N_2014,4,1,1,1,1.75,1.5,3,16,16,3,16,16,0,0,86,3,0,0,3,.
2014,235,N,235_N_2014,0,0,0,0,0,0,16,16,16,3,3,38,0,0,86,3,0,1,3,.
2014,235,N,235_N_2014,1,5,3,2,2.75,1.707825128,16,3,16,0,38,3,0,0,86,3,0,2,16,.
2014,235,N,235_N_2014,0,1,1,0,0.5,0.577350269,0,0,38,0,16,3,0,0,86,1,0,0,3,.
2014,235,N,235_N_2014,0,1,0,0,0.25,0.5,3,0,16,0,63,1,0,0,63,3,0,1,0,.
2014,235,N,235_N_2014,0,1,1,0,0.5,0.577350269,0,0,38,3,16,3,0,0,86,3,0,1,3,.
2014,235,N,235_N_2014,1,3,2,4,2.5,1.290994449,0,0,38,16,38,3,0,0,63,3,0,1,16,.
2014,235,N,235_N_2014,0,1,1,1,0.75,0.5,3,0,38,0,16,3,0,0,86,3,0,1,1,.
2014,235,N,235_N_2014,1,2,2,2,1.75,0.5,0,0,16,0,38,16,0,0,86,1,0,1,3,.
2014,235,N,235_N_2014,1,1,2,1,1.25,0.5,0,0,16,0,63,3,0,0,86,1,0,0,3,.
2014,235,N,235_N_2014,1,1,0,0,0.5,0.577350269,0,0,38,3,16,16,0,0,86,3,0,0,3,.
2014,235,N,235_N_2014,1,2,1,1,1.25,0.5,1,0,38,3,16,1,0,0,86,3,0,0,3,.
2014,235,N,235_N_2014,0,0,0,0,0,0,0,0,63,0,3,3,0,0,86,1,0,0,1,.
2014,235,N,235_N_2014,5,5,5,5,5,0,0,0,16,16,86,0,0,0,86,16,0,0,16,.
2014,235,N,235_N_2014,2,2,1,2,1.75,0.5,0,0,16,16,63,3,0,0,86,3,0,0,1,.
2014,235,N,235_N_2014,0,0,0,0,0,0,3,0,38,0,3,16,0,0,86,3,0,0,1,.
2014,235,N,235_N_2014,0,5,2,1,2,2.160246899,0,0,38,0,38,1,0,0,86,1,0,0,3,.
2014,235,N,235_N_2014,2,2,1,2,1.75,0.5,0,0,16,3,38,16,0,0,86,1,0,0,1,.
2014,235,N,235_N_2014,1,1,1,1,1,0,1,0,16,0,38,3,0,0,86,1,0,0,3,.
2014,235,N,235_N_2014,3,0,0,0,0.75,1.5,0,0,16,0,38,38,0,0,86,1,0,0,1,.
2014,235,N,235_N_2014,0,0,0,0,0,0,0,0,63,3,16,16,0,0,63,3,0,0,3,.
2014,235,N,235_N_2014,5,1,2,0,2,2.160246899,0,0,16,0,38,16,0,0,86,1,0,0,3,.
2014,235,N,235_N_2014,0,1,0,0,0.25,0.5,0,16,16,0,16,3,0,0,86,3,0,1,3,.
2014,235,N,235_N_2014,4,5,4,3,4,0.816496581,0,0,38,0,63,3,0,3,86,1,0,0,1,.
2014,235,N,235_N_2014,0,0,0,0,0,0,0,0,86,0,3,3,0,0,63,3,0,1,0,.
2014,235,N,235_N_2014,0,0,0,0,0,0,0,0,38,0,16,16,0,0,86,3,0,1,1,.
2014,235,N,235_N_2014,1,1,0,0,0.5,0.577350269,0,0,16,0,16,38,0,0,86,1,0,0,1,.
2014,235,N,235_N_2014,2,3,3,3,2.75,0.5,0,0,38,16,38,0,0,0,38,38,0,0,3,.
2014,235,N,235_N_2014,0,0,0,0,0,0,3,16,38,16,3,3,0,0,86,3,0,0,3,.
2014,235,N,235_N_2014,0,3,1,1,1.25,1.258305739,16,3,16,0,38,3,0,0,86,3,0,0,3,.
2014,235,S,235_S_2014,1,5,0,2,2,2.160246899,16,16,16,3,38,3,0,0,86,3,0,1,16,.
2014,235,S,235_S_2014,3,3,3,3,3,0,38,3,3,0,38,3,0,0,86,1,0,1,0,.
2014,235,S,235_S_2014,0,0,0,0,0,0,3,3,16,3,16,63,0,0,63,3,0,0,1,.
2014,235,S,235_S_2014,3,3,0,3,2.25,1.5,0,63,16,3,3,0,1,0,0,86,0,1,0,.
2014,235,S,235_S_2014,2,7,3,3,3.75,2.217355783,0,0,63,3,16,0,0,0,3,86,0,0,3,.
2014,235,S,235_S_2014,3,3,2,1,2.25,0.957427108,0,0,16,3,63,16,0,0,63,16,0,1,16,.
2014,235,S,235_S_2014,3,3,2,3,2.75,0.5,0,0,38,0,63,3,0,0,86,1,0,2,3,.
2014,235,S,235_S_2014,1,1,0,0,0.5,0.577350269,0,0,16,0,3,86,0,0,63,16,0,0,0,.
2014,235,S,235_S_2014,5,4,3,3,3.75,0.957427108,0,0,63,0,16,3,3,0,3,86,1,0,3,.
2014,235,S,235_S_2014,4,2,3,5,3.5,1.290994449,0,0,38,0,38,0,0,0,38,38,0,1,16,.
2014,235,S,235_S_2014,4,3,3,7,4.25,1.892969449,0,0,63,0,16,0,0,0,3,63,0,1,1,.
2014,235,S,235_S_2014,3,2,1,2,2,0.816496581,0,0,86,0,3,0,0,0,16,63,0,0,0,.
2014,235,S,235_S_2014,5,5,3,6,4.75,1.258305739,0,0,63,0,1,0,0,0,3,86,1,0,0,.
2014,235,S,235_S_2014,5,3,3,1,3,1.632993162,0,0,63,0,16,0,0,0,16,63,0,0,1,.
2014,235,S,235_S_2014,2,1,2,1,1.5,0.577350269,0,0,38,3,16,16,0,0,16,63,0,1,3,.
2014,235,S,235_S_2014,2,2,2,2,2,0,0,0,63,3,16,16,0,0,16,63,0,0,3,.
2014,235,S,235_S_2014,2,4,2,4,3,1.154700538,0,0,38,3,38,16,0,0,38,38,0,1,0,.
2014,235,S,235_S_2014,3,5,1,2,2.75,1.707825128,0,0,63,0,3,0,0,0,0,86,0,1,0,.
2014,235,S,235_S_2014,3,3,3,3,3,0,0,0,63,3,16,3,0,0,16,63,0.5,1,1,.
2014,235,S,235_S_2014,3,1,1,3,2,1.154700538,0,0,63,0,16,0,0,0,3,86,0,0,3,.
2014,235,S,235_S_2014,6,2,2,2,3,2,0,0,63,0,16,0,0,0,1,86,0.5,1,0,.
2014,235,S,235_S_2014,3,3,3,3,3,0,0,0,86,0,3,0,0,0,16,63,0.5,1,1,.
2014,235,S,235_S_2014,2,2,2,2,2,0,0,0,63,0,3,3,0,0,3,86,1,1,3,.
2014,235,S,235_S_2014,3,2,2,3,2.5,0.577350269,0,0,38,3,38,16,0,0,3,86,0,0,16,.
2014,235,S,235_S_2014,0,1,1,0,0.5,0.577350269,0,0,16,3,3,63,0,0,16,16,0,0,0,.
2014,235,S,235_S_2014,1,1,1,1,1,0,16,0,16,3,63,16,16,0,63,3,0,1,16,.
2014,235,S,235_S_2014,1,2,1,1,1.25,0.5,0,0,16,3,16,38,0,0,86,3,0,1,3,.
2014,235,S,235_S_2014,3,2,2,3,2.5,0.577350269,0,0,63,3,3,1,0,0,3,86,1,0,0,.
2014,235,S,235_S_2014,3,5,2,3,3.25,1.258305739,0,16,16,3,63,16,0,0,63,3,0,0,3,.
2014,235,S,235_S_2014,1,7,11,1,5,4.898979486,0,16,3,0,63,16,0,0,63,16,0,0,0,.
2015,235,C,235_C_2015,0,7,5,5,4.25,2.986078811,0,3,0,16,63,38,0,0,86,3,0,0,16,.
2015,235,C,235_C_2015,5,4,5,4,4.5,0.577350269,3,3,0,16,86,3,0,0,86,16,1,0,1,.
2015,235,C,235_C_2015,2,5,6,1,3.5,2.380476143,3,3,3,16,38,63,0,0,86,3,0,0,0,.
2015,235,C,235_C_2015,4,5,3,4,4,0.816496581,3,16,0,16,63,16,0,0,3,63,0,0,1,.
2015,235,C,235_C_2015,0,0,1,0,0.25,0.5,0,3,0,16,16,38,0,0,16,3,0,0,0,.
2015,235,C,235_C_2015,4,3,6,4,4.25,1.258305739,0,3,98,63,38,0,0,0,86,3,0,0,0,.
2015,235,C,235_C_2015,0,6,2,2,2.5,2.516611478,0,3,0,3,63,38,0,0,98,0,0,0,0,.
2015,235,C,235_C_2015,4,6,2,6,4.5,1.914854216,0,3,0,16,38,63,0,0,86,16,1,0,3,.
2015,235,C,235_C_2015,0,0,0,0,0,0,3,38,0,63,3,0,0,0,3,86,0.5,0,0,.
2015,235,C,235_C_2015,2,2,1,1,1.5,0.577350269,0,1,0,16,3,86,1,0,86,3,0,0,0,.
2015,235,C,235_C_2015,4,5,7,1,4.25,2.5,0,3,0,63,38,3,0,0,3,86,0,0,0,.
2015,235,C,235_C_2015,1,5,4,4,3.5,1.732050808,0,3,0,16,86,16,0,0,0,86,1,0,63,.
2015,235,C,235_C_2015,2,4,2,4,3,1.154700538,0,3,0,16,63,3,0,0,0,98,1,0,0,.
2015,235,C,235_C_2015,2,1,2,2,1.75,0.5,0,3,0,38,63,16,3,0,86,3,0,0,0,.
2015,235,C,235_C_2015,0,1,1,3,1.25,1.258305739,0,3,0,63,38,16,0,0,98,0,0,0,0,.
2015,235,C,235_C_2015,3,1,2,0,1.5,1.290994449,3,16,0,38,38,16,0,0,3,86,0.5,0,63,.
2015,235,C,235_C_2015,3,1,5,6,3.75,2.217355783,1,16,0,16,38,63,0,0,3,86,0,0,38,.
2015,235,C,235_C_2015,6,4,4,4,4.5,1,3,16,0,38,63,1,1,0,3,86,1,0,1,.
2015,235,C,235_C_2015,1,3,1,2,1.75,0.957427108,0,16,0,16,38,63,3,0,3,86,0.5,0,38,.
2015,235,C,235_C_2015,3,1,3,2,2.25,0.957427108,0,16,0,38,63,3,0,0,3,86,1,0,63,.
2015,235,C,235_C_2015,1,2,2,2,1.75,0.5,0,16,3,38,3,38,0,0,86,3,0,0,1,.
2015,235,C,235_C_2015,2,5,3,1,2.75,1.707825128,0,3,0,38,16,63,0,0,3,86,1,0,16,.
2015,235,C,235_C_2015,0,2,1,0,0.75,0.957427108,0,3,0,3,3,86,0,0,98,0,0,0,0,.
2015,235,C,235_C_2015,2,2,1,4,2.25,1.258305739,0,38,0,38,16,16,0,0,3,86,0,0,0,.
2015,235,C,235_C_2015,3,2,2,2,2.25,0.5,3,16,0,16,38,16,0,0,86,3,0,0,1,.
2015,235,C,235_C_2015,1,1,0,0,0.5,0.577350269,0,16,0,38,16,38,0,0,86,3,0,0,16,.
2015,235,C,235_C_2015,2,1,1,1,1.25,0.5,0,63,0,16,3,3,0,0,0,98,1,0,16,.
2015,235,C,235_C_2015,3,3,3,3,3,0,16,3,0,3,63,3,0,0,0,98,1,0,86,.
2015,235,C,235_C_2015,1,0,1,4,1.5,1.732050808,0,16,0,16,63,16,0,0,16,86,0,0,38,.
2015,235,C,235_C_2015,1,0,1,1,0.75,0.5,0,86,0,3,1,3,0,0,86,3,0,0,0,.
2015,235,N,235_N_2015,2,2,1,2,1.75,0.5,3,0,0,0,86,16,0,0,98,3,0,0,0,.
2015,235,N,235_N_2015,3,4,5,3,3.75,0.957427108,1,0,0,0,98,0,0,0,98,3,0,0,1,.
2015,235,N,235_N_2015,4,4,2,4,3.5,1,1,0,0,0,86,38,0,0,86,16,0,0,0,.
2015,235,N,235_N_2015,4,4,5,4,4.25,0.5,0,0,0,3,86,38,0,0,16,86,0,0,1,.
2015,235,N,235_N_2015,4,5,4,4,4.25,0.5,3,0,0,0,98,3,0,0,98,3,0,0,0,.
2015,235,N,235_N_2015,7,11,11,7,9,2.309401077,0,0,0,0,86,38,0,0,86,3,0,0,0,.
2015,235,N,235_N_2015,3,4,4,3,3.5,0.577350269,0,0,98,1,86,38,0,0,86,3,0,0,0,.
2015,235,N,235_N_2015,2,2,2,2,2,0,1,0,0,0,86,16,0,0,86,16,0,0,0,.
2015,235,N,235_N_2015,3,3,2,3,2.75,0.5,0,0,0,0,98,3,0,0,63,16,0,0,0,.
2015,235,N,235_N_2015,6,2,2,2,3,2,1,0,0,0,98,16,0,0,3,86,0,0,0,.
2015,235,N,235_N_2015,3,4,2,6,3.75,1.707825128,3,1,0,0,63,63,0,0,16,63,0,0,0,.
2015,235,N,235_N_2015,0,0,0,0,0,0,3,3,0,3,16,86,0,0,16,86,0,0,0,.
2015,235,N,235_N_2015,2,2,2,0,1.5,1,3,0,0,0,16,63,0,0,86,16,0,0,0,.
2015,235,N,235_N_2015,2,3,3,2,2.5,0.577350269,0,0,0,0,86,38,0,0,86,3,0,0,0,.
2015,235,N,235_N_2015,1,2,3,1,1.75,0.957427108,1,0,0,3,63,38,0,0,86,3,0,1,0,.
2015,235,N,235_N_2015,4,5,2,2,3.25,1.5,3,3,3,38,63,0,0,0,98,0,0,0,0,.
2015,235,N,235_N_2015,3,5,7,7,5.5,1.914854216,3,0,0,0,98,0,0,0,0,98,1,0,0,.
2015,235,N,235_N_2015,4,5,10,3,5.5,3.109126351,16,0,98,1,63,16,0,0,98,3,0,0,0,.
2015,235,N,235_N_2015,3,3,3,2,2.75,0.5,1,0,0,0,98,3,0,0,98,3,0,0,0,.
2015,235,N,235_N_2015,1,6,9,2,4.5,3.696845502,0,1,98,1,86,16,0,0,86,3,0,0,1,.
2015,235,N,235_N_2015,7,3,2,2,3.5,2.380476143,0,0,0,0,98,1,0,0,86,3,0,0,0,.
2015,235,N,235_N_2015,2,2,4,2,2.5,1,3,0,0,0,98,16,0,0,86,3,0,0,0,.
2015,235,N,235_N_2015,5,2,1,0,2,2.160246899,3,16,16,16,63,3,0,0,86,16,0,0,0,.
2015,235,N,235_N_2015,0,0,8,0,2,4,3,16,0,38,38,16,0,0,86,16,0,0,3,.
2015,235,N,235_N_2015,2,2,1,0,1.25,0.957427108,0,16,0,3,38,3,0,0,63,16,0,0,0,.
2015,235,N,235_N_2015,3,4,4,2,3.25,0.957427108,1,0,0,0,98,3,0,0,63,16,0,0,0,.
2015,235,N,235_N_2015,2,2,2,0,1.5,1,16,1,0,3,16,16,0,0,98,3,0,0,0,.
2015,235,N,235_N_2015,2,3,2,0,1.75,1.258305739,3,0,0,0,38,38,0,0,86,3,0,0,0,.
2015,235,N,235_N_2015,4,3,4,4,3.75,0.5,3,0,0,0,98,0,0,0,98,0,0,0,0,.
2015,235,N,235_N_2015,4,3,1,2,2.5,1.290994449,3,0,0,0,86,16,0,0,16,63,0,0,0,.
2015,235,S,235_S_2015,2,3,4,5,3.5,1.290994449,0,38,16,38,16,38,0,0,0,86,1,0,0,.
2015,235,S,235_S_2015,9,10,9,11,9.75,0.957427108,0,0,0,16,86,0,0,0,3,0,0,0,16,.
2015,235,S,235_S_2015,2,4,4,4,3.5,1,1,16,3,16,63,1,0,0,38,0,0,1,3,.
2015,235,S,235_S_2015,5,3,3,5,4,1.154700538,0,3,63,86,16,0,0,0,16,0,0,0,0,.
2015,235,S,235_S_2015,3,3,2,1,2.25,0.957427108,0,38,0,63,3,0,0,0,38,0,0,0,0,.
2015,235,S,235_S_2015,5,5,5,9,6,2,3,16,0,3,86,0,0,0,3,0,0,0,3,.
2015,235,S,235_S_2015,3,5,5,3,4,1.154700538,0,3,16,16,63,3,0,0,3,0,0,0,16,.
2015,235,S,235_S_2015,2,5,5,2,3.5,1.732050808,0,38,16,38,38,3,0,0,38,0,0,0,0,.
2015,235,S,235_S_2015,9,9,8,6,8,1.414213562,3,3,0,3,86,0,0,0,0,0,0,0,0,.
2015,235,S,235_S_2015,8,5,5,3,5.25,2.061552813,0,3,3,38,38,3,0,0,1,0,0,0,0,.
2015,235,S,235_S_2015,7,6,5,6,6,0.816496581,0,3,3,16,86,3,0,0,3,0,0,0,0,.
2015,235,S,235_S_2015,11,4,6,15,9,4.966554809,63,16,0,3,38,0,0,0,0,0,0,0,0,.
2015,235,S,235_S_2015,2,1,1,1,1.25,0.5,3,16,0,63,38,0,0,0,38,0,0,0,98,.
2015,235,S,235_S_2015,0,0,0,0,0,0,0,16,0,38,1,63,0,0,63,0,0,0,0,.
2015,235,S,235_S_2015,8,7,7,6,7,0.816496581,3,16,0,16,63,0,0,0,3,0,0,1,0,.
