NectarRecordID,ButterflyTransID,Nectar Plant Name,USDA scientific name,Section 1,Section 2,Section 3,Section 4,Section 5
5911,1468,yarrow,Achillea millefolium,0,1,1,0,0
5912,1469,white lobelia,Lobelia spicata,1,4,0,1,1
5913,1469,yarrow,Achillea millefolium,2,1,0,0,0
5914,1470,blackberry,Rubus sp.,0,0,0,0,5
5915,1471,birdsfoot trefoil,Lotus corniculatus,4,1,1,3,0
5916,1472,red clover,,4,0,0,7,14
5917,1472,yarrow,,0,0,0,1,1
5918,1472,oxeye daisy,,0,0,2,1,1
5919,1472,blackberry,,0,5,0,0,0
5920,1472,birdsfoot trefoil,,1,0,0,0,0
5921,1472,white lobelia,,1,0,0,0,0
5922,1472,blue eyed grass,,0,1,0,0,0
5923,1472,common cinquefoil,,0,1,0,0,0
5924,1473,oxeye daisy,,0,1,4,2,3
5925,1473,birdsfoot trefoil,,5,1,0,0,0
5926,1473,white lobelia,,0,1,0,0,0
5927,1473,yarrow,,1,0,0,0,0
5928,1473,red clover,,6,0,0,0,0
5929,1474,birdsfoot trefoil,,2,1,0,5,3
5930,1474,red clover,,3,5,10,1,0
5931,1475,yellow sweet clover,,1,1,0,0,0
5932,1475,oxeye daisy,,1,4,3,0,0
5933,1475,birdsfoot trefoil,,1,1,5,16,3
5934,1475,white lobelia,,0,1,0,1,0
5935,1475,white clover,,0,3,2,0,0
5936,1475,red clover,,0,4,0,1,1
5937,1475,deptford pink,,0,2,0,0,0
5938,1475,black medick,,0,0,8,0,0
5939,1475,blue eyed grass,,0,0,0,0,1
5940,1476,birdsfoot trefoil,,14,2,5,19,13
5941,1476,black medick,,0,0,0,4,3
5942,1476,white clover,,0,0,0,0,5
5943,1476,yarrow,,0,0,4,0,2
5944,1476,red clover,,1,0,0,2,0
5945,1477,red clover,,0,0,5,5,7
5946,1477,birdsfoot trefoil,,5,9,11,6,3
5947,1477,yarrow,,0,1,0,1,0
5948,1477,deptford pink,,0,3,2,9,0
5949,1477,prairie rose,,0,0,11,4,0
5950,1478,birdsfoot trefoil,,66,10,17,51,88
5951,1478,common cinquefoil,,0,0,0,0,1
5952,1479,daisy fleabane,,2,0,3,6,1
5953,1479,white lobelia,,1,3,5,10,6
5954,1479,yarrow,,3,17,1,5,1
5955,1479,white clover,,0,1,15,0,6
5956,1479,red clover,,0,0,0,1,0
5957,1479,black medick,,0,2,0,0,0
5958,1479,deptford pink,,0,1,0,0,0
5959,1479,birdsfoot trefoil,,1,0,0,0,0
5960,1480,yarrow,,0,0,0,1,1
5961,1480,birdsfoot trefoil,,0,0,0,0,1
5962,1480,white lobelia,,0,1,2,0,0
5963,1480,oxeye daisy,,9,0,0,0,0
5964,1481,white clover,,34,48,0,20,3
5965,1481,yarrow,,0,0,0,6,3
5966,1481,deptford pink,,0,0,0,0,2
5967,1481,red clover,,0,0,0,1,0
5968,1481,oxeye daisy,,0,0,1,0,0
5969,1482,birdsfoot trefoil,,0,0,0,5,0
5970,1482,daisy fleabane,,0,0,0,1,0
5971,1482,white wild indigo,,0,0,1,0,0
5972,1483,birdsfoot trefoil,,10,29,13,1,0
5973,1483,white lobelia,,0,0,13,4,0
5974,1483,daisy fleabane,,0,0,1,0,0
5975,1484,white clover,,0,0,0,0,1
5976,1484,deptford pink,,0,0,2,0,0
5977,1485,white clover,,0,0,1,0,0
5978,1486,white clover,,3,0,6,1,15
5979,1487,prairie rose,,3,0,12,1,0
5980,1487,red clover,,0,2,2,2,0
5981,1487,yarrow,,0,1,0,0,0
5982,1487,wild garlic,,0,0,0,2,0
5983,1488,yarrow,,2,2,6,2,1
5984,1488,white lobelia,,0,0,1,0,0
5985,1488,prairie rose,,0,7,7,0,0
5986,1489,spiderwort,,0,0,5,7,1
5987,1489,yarrow,,0,0,0,9,0
5988,1489,prairie rose,,0,0,0,4,1
5989,1489,wild parsnip,,0,0,0,0,1
5990,1490,deptford pink,,0,0,0,0,4
5991,1490,daisy fleabane,,3,1,2,0,0
5992,1491,birdsfoot trefoil,,28,14,25,21,30
5993,1491,oxeye daisy,,9,1,5,2,0
5994,1491,red clover,,18,12,13,22,13
5995,1491,deptford pink,,0,0,0,0,3
5996,1491,black medick,,10,1,0,3,0
5997,1491,yarrow,,0,0,0,1,0
5998,1491,yellow sweet clover,,0,11,4,8,0
5999,1491,white clover,,7,3,2,0,0
6000,1492,Red clover,,1,3,0,5,6
6001,1492,black medick,,128,103,44,28,6
6002,1492,birdsfoot trefoil,,10,2,11,4,0
6003,1492,white clover,,15,85,118,27,0
6004,1492,yellow sweet clover,,5,20,4,0,0
6005,1493,birdsfoot trefoil,,5,3,4,23,66
6006,1493,oxeye daisy,,0,0,0,0,1
6007,1493,red clover,,0,1,0,0,1
6008,1493,white clover,,0,7,5,2,0
6009,1493,yellow sweet clover,,0,9,0,0,0
6010,1493,black medick,,0,3,0,0,0
6011,1494,birdsfoot trefoil,,4,1,18,14,45
