"Composite.Variable","Year","Herbicide.Treatment","Site","Patch","american lady","black swallowtail","bronze copper","cabbage white","clouded sulphur","common buckeye","common wood nymph","coral hairstreak","delaware skipper","dun skipper","eastern comma","eastern tailed blue","eastern tiger swallowtail","european skipper","giant swallowtail","gorgone checkerspot","gray copper","great spangled fritillary","indigo duskywing","least skipper","little wood satyr","little yellow","meadow fritillary","monarch","orange sulphur","painted lady","pearl crescent","peck's skipper","question mark","red admiral","red-spotted purple","regal fritillary","silver-spotted skipper","silvery checkerspot","summer azure","tawny-edged skipper","viceroy","Abundance","Species.Density","Diversity"
"2014-Con","2014","Con","GIL","GIL-S",0,0,0,4,13,0,4,0,0,0,0,14,1,0,0,0,0,3,0,0,2,0,3,1,7,0,4,0,0,0,0,0,0,1,0,1,0,58,13,2.189304808278
"2014-Con","2014","Con","LTR","LTR-W",0,0,0,0,12,0,0,0,0,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,1,0,0,1,1,0,79,8,1.16459756853328
"2014-Con","2014","Con","PYW","PYW-S",0,0,0,1,36,0,0,0,0,0,0,44,2,0,0,0,0,1,0,0,0,1,2,2,15,0,1,0,0,0,0,1,0,0,0,2,0,108,12,1.51845570732944
"2014-SnS","2014","SnS","GIL","GIL-C",6,0,0,3,9,0,15,0,0,0,0,13,0,0,0,0,1,1,0,0,0,0,0,0,6,0,2,0,0,0,0,3,1,0,0,1,0,61,12,2.0908870185434
"2014-SnS","2014","SnS","LTR","LTR-E",1,0,0,0,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,2,10,0,0,0,0,0,0,1,0,0,0,0,0,31,7,1.56919567124407
"2014-SnS","2014","SnS","PYW","PYW-N",0,0,0,0,42,0,1,0,0,0,0,79,1,0,0,0,0,1,0,0,0,1,3,3,17,0,0,0,0,1,0,1,0,0,0,0,0,150,11,1.29780326147119
"2014-Spr","2014","Spr","GIL","GIL-N",0,0,0,4,12,0,1,0,0,0,0,17,1,0,0,0,1,1,0,0,1,0,0,1,6,0,2,0,0,0,0,0,0,0,0,0,0,47,11,1.81471068112752
"2014-Spr","2014","Spr","LTR","LTR-C",2,1,0,0,6,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,2,8,0,3,0,0,0,0,0,0,0,0,0,0,28,9,1.93935836083482
"2014-Spr","2014","Spr","PYW","PYW-C",0,0,0,0,20,0,1,0,0,0,0,21,1,0,0,0,0,1,0,0,0,2,0,5,9,0,2,0,0,0,0,0,0,0,0,0,0,62,9,1.63609541498529
"2015-Con","2015","Con","GIL","GIL-S",0,0,0,15,8,1,2,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,3,1,3,0,0,1,0,0,0,0,0,0,0,39,11,1.91979646240298
