"Composite.Variable","Herbicide.Treatment","Year","Site","Patch","alsike clover","birdsfoot trefoil","black medick","black-eyed susan","blue-eyed grass","broadleaf plantain","butterfly milkweed","canada anemone","catnip","chickweed","chicory","common cinquefoil","corn speedwell","daisy fleabane","dandelion","deptford pink","field milkwort","fieldcress","flowering spurge","germander","grey-headed coneflower","grooved yellow flax","ground cherry","hairy mountain mint","hoary vervain","horsenettle","ironweed","morning glory","moth mullein","multiflora rose","musk thistle","oxeye daisy","pale spike lobelia","partridge pea","prairie cinquefoil","prairie petunia","prairie rose","queen anne's lace","rapeseed","red clover","ribwort plantain","self-heal","showy tick trefoil","slender mountain mint","spotted st. john's wort","st. john's wort","swamp agrimony","swamp vervain","sweet black-eyed susan","tall green milkweed","white clover","white sweet clover","white vervain","white wild indigo","whorled milkweed","wild bergamot","wild parsnip","yarrow","yellow oxalis","yellow sweet clover","Abundance","Species.Density","Diversity"
"2014-Con","Con","2014","GIL","GIL-S",0,360,0,0,0,0,0,0,0,0,0,0,0,6,0,18,0,1,0,14,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,77,0,49,0,0,0,0,0,0,0,0,0,0,332,0,0,0,0,61,2,0,0,5,929,13,1.52284081359888
"2014-Con","Con","2014","LTR","LTR-W",647,39,14,0,0,0,0,0,0,0,0,0,0,13,0,11,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,677,0,0,5,0,0,0,0,0,0,1426,13,1.03121297172947
"2014-Con","Con","2014","PYW","PYW-S",0,3282,2,0,0,0,0,0,0,0,0,1,0,0,0,54,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,2,1,0,11,0,0,0,420,0,2,0,4,0,0,0,0,0,0,66,0,0,0,0,0,0,2,0,0,3870,15,0.588943426489645
"2014-SnS","SnS","2014","GIL","GIL-C",0,209,19,0,0,0,0,0,0,0,0,0,0,3,0,38,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,1,0,2,0,17,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,9,5,505,12,1.45869238984849
"2014-SnS","SnS","2014","LTR","LTR-E",805,32,25,0,0,0,0,0,0,0,0,0,0,8,1,35,0,0,0,0,0,0,0,0,7,4,0,0,1,0,0,0,0,0,0,14,0,2,0,41,5,0,0,0,0,0,0,0,0,0,749,0,0,3,0,0,0,0,0,0,1732,15,1.16539766787535
"2014-SnS","SnS","2014","PYW","PYW-N",3,2923,8,0,1,0,0,0,0,0,0,1,0,0,0,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,2,0,0,8,0,0,0,56,0,0,0,43,0,0,0,0,0,0,17,6,0,1,0,0,0,0,0,5,3131,16,0.381852174634798
"2014-Spr","Spr","2014","GIL","GIL-N",1,898,243,0,0,0,0,0,0,1,1,3,0,1,0,57,0,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,8,0,32,0,0,0,0,0,0,0,0,0,0,492,1,0,0,0,0,0,0,1,12,1758,17,1.27792902219279
"2014-Spr","Spr","2014","LTR","LTR-C",0,28,0,0,0,0,0,0,0,0,0,0,0,15,0,65,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,32,0,0,0,2,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,1,0,0,229,9,1.56604706947737
"2014-Spr","Spr","2014","PYW","PYW-C",0,1408,133,0,0,0,17,0,0,0,0,0,0,0,0,43,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,26,0,0,0,90,0,0,0,38,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,16,1831,12,0.992211930798078
"2015-Con","Con","2015","GIL","GIL-S",0,763,0,0,0,0,0,0,0,7,0,0,0,100,0,0,0,0,0,33,0,0,0,0,6,3,6,0,0,0,0,0,0,0,0,2,0,12,0,24,0,5,0,0,0,0,0,0,0,0,1256,0,0,0,0,169,0,0,3,0,2389,14,1.23750597372103
