"Year","Site","Patch","Adaptive.Mgmt","Herb.Trt","Butterfly.Common.Name","Number"
14,"GIL","GIL-C","GB","SnS","american lady",6
14,"GIL","GIL-C","GB","SnS","cabbage white",3
14,"GIL","GIL-C","GB","SnS","clouded sulphur",9
14,"GIL","GIL-C","GB","SnS","common wood nymph",15
14,"GIL","GIL-C","GB","SnS","eastern tailed blue",13
14,"GIL","GIL-C","GB","SnS","gray copper",1
14,"GIL","GIL-C","GB","SnS","great spangled fritillary",1
14,"GIL","GIL-C","GB","SnS","orange sulphur",6
14,"GIL","GIL-C","GB","SnS","pearl crescent",2
14,"GIL","GIL-C","GB","SnS","regal fritillary",3
14,"GIL","GIL-C","GB","SnS","silver-spotted skipper",1
14,"GIL","GIL-C","GB","SnS","tawny-edged skipper",1
14,"GIL","GIL-N","GB","Spr","cabbage white",4
14,"GIL","GIL-N","GB","Spr","clouded sulphur",12
14,"GIL","GIL-N","GB","Spr","common wood nymph",1
14,"GIL","GIL-N","GB","Spr","eastern tailed blue",17
14,"GIL","GIL-N","GB","Spr","eastern tiger swallowtail",1
14,"GIL","GIL-N","GB","Spr","gray copper",1
14,"GIL","GIL-N","GB","Spr","great spangled fritillary",1
14,"GIL","GIL-N","GB","Spr","little wood satyr",1
14,"GIL","GIL-N","GB","Spr","monarch",1
14,"GIL","GIL-N","GB","Spr","orange sulphur",6
14,"GIL","GIL-N","GB","Spr","pearl crescent",2
14,"GIL","GIL-S","GB","Con","cabbage white",4
14,"GIL","GIL-S","GB","Con","clouded sulphur",13
14,"GIL","GIL-S","GB","Con","common wood nymph",4
14,"GIL","GIL-S","GB","Con","eastern tailed blue",14
14,"GIL","GIL-S","GB","Con","eastern tiger swallowtail",1
14,"GIL","GIL-S","GB","Con","great spangled fritillary",3
14,"GIL","GIL-S","GB","Con","little wood satyr",2
14,"GIL","GIL-S","GB","Con","meadow fritillary",3
14,"GIL","GIL-S","GB","Con","monarch",1
14,"GIL","GIL-S","GB","Con","orange sulphur",7
14,"GIL","GIL-S","GB","Con","pearl crescent",4
14,"GIL","GIL-S","GB","Con","silvery checkerspot",1
14,"GIL","GIL-S","GB","Con","tawny-edged skipper",1
14,"LTR","LTR-C","GB","Spr","american lady",2
14,"LTR","LTR-C","GB","Spr","black swallowtail",1
14,"LTR","LTR-C","GB","Spr","clouded sulphur",6
14,"LTR","LTR-C","GB","Spr","eastern tailed blue",4
14,"LTR","LTR-C","GB","Spr","eastern tiger swallowtail",1
14,"LTR","LTR-C","GB","Spr","great spangled fritillary",1
14,"LTR","LTR-C","GB","Spr","monarch",2
14,"LTR","LTR-C","GB","Spr","orange sulphur",8
14,"LTR","LTR-C","GB","Spr","pearl crescent",3
14,"LTR","LTR-E","GB","SnS","american lady",1
14,"LTR","LTR-E","GB","SnS","clouded sulphur",7
14,"LTR","LTR-E","GB","SnS","eastern tailed blue",9
14,"LTR","LTR-E","GB","SnS","little yellow",1
14,"LTR","LTR-E","GB","SnS","monarch",2
14,"LTR","LTR-E","GB","SnS","orange sulphur",10
14,"LTR","LTR-E","GB","SnS","regal fritillary",1
14,"LTR","LTR-W","GB","Con","clouded sulphur",12
14,"LTR","LTR-W","GB","Con","eastern tailed blue",50
14,"LTR","LTR-W","GB","Con","eastern tiger swallowtail",1
14,"LTR","LTR-W","GB","Con","orange sulphur",11
14,"LTR","LTR-W","GB","Con","pearl crescent",2
14,"LTR","LTR-W","GB","Con","regal fritillary",1
14,"LTR","LTR-W","GB","Con","summer azure",1
14,"LTR","LTR-W","GB","Con","tawny-edged skipper",1
14,"PYW","PYW-C","GB","Spr","clouded sulphur",20
14,"PYW","PYW-C","GB","Spr","common wood nymph",1
14,"PYW","PYW-C","GB","Spr","eastern tailed blue",21
14,"PYW","PYW-C","GB","Spr","eastern tiger swallowtail",1
14,"PYW","PYW-C","GB","Spr","great spangled fritillary",1
14,"PYW","PYW-C","GB","Spr","little yellow",2
14,"PYW","PYW-C","GB","Spr","monarch",5
14,"PYW","PYW-C","GB","Spr","orange sulphur",9
14,"PYW","PYW-C","GB","Spr","pearl crescent",2
14,"PYW","PYW-N","GB","SnS","clouded sulphur",42
14,"PYW","PYW-N","GB","SnS","common wood nymph",1
14,"PYW","PYW-N","GB","SnS","eastern tailed blue",79
14,"PYW","PYW-N","GB","SnS","eastern tiger swallowtail",1
14,"PYW","PYW-N","GB","SnS","great spangled fritillary",1
14,"PYW","PYW-N","GB","SnS","little yellow",1
14,"PYW","PYW-N","GB","SnS","meadow fritillary",3
14,"PYW","PYW-N","GB","SnS","monarch",3
14,"PYW","PYW-N","GB","SnS","orange sulphur",17
14,"PYW","PYW-N","GB","SnS","red admiral",1
14,"PYW","PYW-N","GB","SnS","regal fritillary",1
14,"PYW","PYW-S","GB","Con","cabbage white",1
14,"PYW","PYW-S","GB","Con","clouded sulphur",36
14,"PYW","PYW-S","GB","Con","eastern tailed blue",44
14,"PYW","PYW-S","GB","Con","eastern tiger swallowtail",2
14,"PYW","PYW-S","GB","Con","great spangled fritillary",1
14,"PYW","PYW-S","GB","Con","little yellow",1
14,"PYW","PYW-S","GB","Con","meadow fritillary",2
14,"PYW","PYW-S","GB","Con","monarch",2
14,"PYW","PYW-S","GB","Con","orange sulphur",15
14,"PYW","PYW-S","GB","Con","pearl crescent",1
14,"PYW","PYW-S","GB","Con","regal fritillary",1
14,"PYW","PYW-S","GB","Con","tawny-edged skipper",2
15,"GIL","GIL-C","GB-IC","SnS","cabbage white",43
15,"GIL","GIL-C","GB-IC","SnS","clouded sulphur",26
15,"GIL","GIL-C","GB-IC","SnS","eastern comma",1
15,"GIL","GIL-C","GB-IC","SnS","eastern tailed blue",2
15,"GIL","GIL-C","GB-IC","SnS","orange sulphur",8
15,"GIL","GIL-C","GB-IC","SnS","painted lady",1
15,"GIL","GIL-C","GB-IC","SnS","pearl crescent",2
15,"GIL","GIL-N","GB-IC","Spr","bronze copper",1
15,"GIL","GIL-N","GB-IC","Spr","cabbage white",53
15,"GIL","GIL-N","GB-IC","Spr","clouded sulphur",5
15,"GIL","GIL-N","GB-IC","Spr","common buckeye",1
15,"GIL","GIL-N","GB-IC","Spr","common wood nymph",1
15,"GIL","GIL-N","GB-IC","Spr","monarch",2
15,"GIL","GIL-N","GB-IC","Spr","orange sulphur",2
15,"GIL","GIL-N","GB-IC","Spr","pearl crescent",1
15,"GIL","GIL-N","GB-IC","Spr","viceroy",2
15,"GIL","GIL-S","GB-IC","Con","cabbage white",15
15,"GIL","GIL-S","GB-IC","Con","clouded sulphur",8
15,"GIL","GIL-S","GB-IC","Con","common buckeye",1
15,"GIL","GIL-S","GB-IC","Con","common wood nymph",2
15,"GIL","GIL-S","GB-IC","Con","coral hairstreak",1
15,"GIL","GIL-S","GB-IC","Con","eastern tailed blue",2
15,"GIL","GIL-S","GB-IC","Con","great spangled fritillary",2
15,"GIL","GIL-S","GB-IC","Con","orange sulphur",3
15,"GIL","GIL-S","GB-IC","Con","painted lady",1
15,"GIL","GIL-S","GB-IC","Con","pearl crescent",3
15,"GIL","GIL-S","GB-IC","Con","red admiral",1
15,"LTR","LTR-C","GB-IC","Spr","american lady",1
15,"LTR","LTR-C","GB-IC","Spr","cabbage white",9
15,"LTR","LTR-C","GB-IC","Spr","clouded sulphur",11
15,"LTR","LTR-C","GB-IC","Spr","eastern tailed blue",1
15,"LTR","LTR-C","GB-IC","Spr","great spangled fritillary",4
15,"LTR","LTR-C","GB-IC","Spr","monarch",3
15,"LTR","LTR-C","GB-IC","Spr","orange sulphur",12
15,"LTR","LTR-C","GB-IC","Spr","pearl crescent",3
15,"LTR","LTR-E","GB-IC","SnS","black swallowtail",2
15,"LTR","LTR-E","GB-IC","SnS","cabbage white",15
15,"LTR","LTR-E","GB-IC","SnS","clouded sulphur",26
15,"LTR","LTR-E","GB-IC","SnS","common buckeye",1
15,"LTR","LTR-E","GB-IC","SnS","eastern tailed blue",3
15,"LTR","LTR-E","GB-IC","SnS","great spangled fritillary",1
15,"LTR","LTR-E","GB-IC","SnS","monarch",1
15,"LTR","LTR-E","GB-IC","SnS","orange sulphur",15
15,"LTR","LTR-E","GB-IC","SnS","painted lady",1
15,"LTR","LTR-E","GB-IC","SnS","pearl crescent",6
15,"LTR","LTR-E","GB-IC","SnS","question mark",1
15,"LTR","LTR-E","GB-IC","SnS","red admiral",3
15,"LTR","LTR-E","GB-IC","SnS","regal fritillary",1
15,"LTR","LTR-W","GB-IC","Con","cabbage white",7
15,"LTR","LTR-W","GB-IC","Con","clouded sulphur",12
15,"LTR","LTR-W","GB-IC","Con","common wood nymph",5
15,"LTR","LTR-W","GB-IC","Con","great spangled fritillary",2
