"Year","Site","Patch","Adaptive.Mgmt","Herb.Trt","american lady","black swallowtail","bronze copper","cabbage white","clouded sulphur","common buckeye","common wood nymph","coral hairstreak","delaware skipper","dun skipper","eastern comma","eastern tailed blue","eastern tiger swallowtail","european skipper","giant swallowtail","gorgone checkerspot","gray copper","great spangled fritillary","indigo duskywing","least skipper","little wood satyr","little yellow","meadow fritillary","monarch","orange sulphur","painted lady","pearl crescent","peck's skipper","question mark","red admiral","red-spotted purple","regal fritillary","silver-spotted skipper","silvery checkerspot","southern cloudywing","summer azure","tawny-edged skipper","variegated fritillary","viceroy","Abundance","Richness","Diversity"
14,"GIL","GIL-C","GB","SnS",6,0,0,3,9,0,15,0,0,0,0,13,0,0,0,0,1,1,0,0,0,0,0,0,6,0,2,0,0,0,0,3,1,0,0,0,1,0,0,61,12,2.0908870185434
14,"GIL","GIL-N","GB","Spr",0,0,0,4,12,0,1,0,0,0,0,17,1,0,0,0,1,1,0,0,1,0,0,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,47,11,1.81471068112752
14,"GIL","GIL-S","GB","Con",0,0,0,4,13,0,4,0,0,0,0,14,1,0,0,0,0,3,0,0,2,0,3,1,7,0,4,0,0,0,0,0,0,1,0,0,1,0,0,58,13,2.189304808278
14,"LTR","LTR-C","GB","Spr",2,1,0,0,6,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,2,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,28,9,1.93935836083482
14,"LTR","LTR-E","GB","SnS",1,0,0,0,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,2,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,7,1.56919567124407
14,"LTR","LTR-W","GB","Con",0,0,0,0,12,0,0,0,0,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,1,0,0,0,1,1,0,0,79,8,1.16459756853328
14,"PYW","PYW-C","GB","Spr",0,0,0,0,20,0,1,0,0,0,0,21,1,0,0,0,0,1,0,0,0,2,0,5,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,62,9,1.63609541498529
14,"PYW","PYW-N","GB","SnS",0,0,0,0,42,0,1,0,0,0,0,79,1,0,0,0,0,1,0,0,0,1,3,3,17,0,0,0,0,1,0,1,0,0,0,0,0,0,0,150,11,1.29780326147119
14,"PYW","PYW-S","GB","Con",0,0,0,1,36,0,0,0,0,0,0,44,2,0,0,0,0,1,0,0,0,1,2,2,15,0,1,0,0,0,0,1,0,0,0,0,2,0,0,108,12,1.51845570732944
15,"GIL","GIL-C","GB-IC","SnS",0,0,0,43,26,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,83,7,1.21582571600069
