"Composite.Variable","Year","Herbicide.Treatment","Site","Patch","BFLY.Common.Name","Number"
"2014-SnS","2014","SnS","GIL","GIL-C","american lady",6
"2014-Spr","2014","Spr","LTR","LTR-C","american lady",2
"2015-Spr","2015","Spr","LTR","LTR-C","american lady",1
"2014-SnS","2014","SnS","LTR","LTR-E","american lady",1
"2016-SnS","2016","SnS","LTR","LTR-E","american lady",1
"2017-Spr","2017","Spr","PYW","PYW-C","american lady",1
"2016-SnS","2016","SnS","GIL","GIL-C","black swallowtail",5
"2016-Spr","2016","Spr","GIL","GIL-N","black swallowtail",2
"2017-Spr","2017","Spr","GIL","GIL-N","black swallowtail",1
"2014-Spr","2014","Spr","LTR","LTR-C","black swallowtail",1
"2016-Spr","2016","Spr","LTR","LTR-C","black swallowtail",1
"2017-Spr","2017","Spr","LTR","LTR-C","black swallowtail",1
"2015-SnS","2015","SnS","LTR","LTR-E","black swallowtail",2
"2016-Con","2016","Con","LTR","LTR-W","black swallowtail",1
"2015-Spr","2015","Spr","PYW","PYW-C","black swallowtail",2
"2016-Spr","2016","Spr","PYW","PYW-C","black swallowtail",1
"2015-SnS","2015","SnS","PYW","PYW-N","black swallowtail",1
"2016-SnS","2016","SnS","GIL","GIL-C","bronze copper",2
"2015-Spr","2015","Spr","GIL","GIL-N","bronze copper",1
"2016-Con","2016","Con","GIL","GIL-S","bronze copper",1
"2014-SnS","2014","SnS","GIL","GIL-C","cabbage white",3
"2015-SnS","2015","SnS","GIL","GIL-C","cabbage white",43
"2016-SnS","2016","SnS","GIL","GIL-C","cabbage white",23
"2017-SnS","2017","SnS","GIL","GIL-C","cabbage white",9
"2014-Spr","2014","Spr","GIL","GIL-N","cabbage white",4
"2015-Spr","2015","Spr","GIL","GIL-N","cabbage white",53
"2016-Spr","2016","Spr","GIL","GIL-N","cabbage white",11
"2017-Spr","2017","Spr","GIL","GIL-N","cabbage white",9
"2014-Con","2014","Con","GIL","GIL-S","cabbage white",4
"2015-Con","2015","Con","GIL","GIL-S","cabbage white",15
"2016-Con","2016","Con","GIL","GIL-S","cabbage white",16
"2017-Con","2017","Con","GIL","GIL-S","cabbage white",10
"2015-Spr","2015","Spr","LTR","LTR-C","cabbage white",9
"2016-Spr","2016","Spr","LTR","LTR-C","cabbage white",14
"2017-Spr","2017","Spr","LTR","LTR-C","cabbage white",8
"2015-SnS","2015","SnS","LTR","LTR-E","cabbage white",15
"2016-SnS","2016","SnS","LTR","LTR-E","cabbage white",18
"2017-SnS","2017","SnS","LTR","LTR-E","cabbage white",10
"2015-Con","2015","Con","LTR","LTR-W","cabbage white",7
"2016-Con","2016","Con","LTR","LTR-W","cabbage white",10
"2017-Con","2017","Con","LTR","LTR-W","cabbage white",3
"2015-Spr","2015","Spr","PYW","PYW-C","cabbage white",10
"2016-Spr","2016","Spr","PYW","PYW-C","cabbage white",9
"2015-SnS","2015","SnS","PYW","PYW-N","cabbage white",10
"2016-SnS","2016","SnS","PYW","PYW-N","cabbage white",4
"2017-SnS","2017","SnS","PYW","PYW-N","cabbage white",9
"2014-Con","2014","Con","PYW","PYW-S","cabbage white",1
"2015-Con","2015","Con","PYW","PYW-S","cabbage white",5
"2016-Con","2016","Con","PYW","PYW-S","cabbage white",11
"2017-Con","2017","Con","PYW","PYW-S","cabbage white",4
"2014-SnS","2014","SnS","GIL","GIL-C","clouded sulphur",9
"2015-SnS","2015","SnS","GIL","GIL-C","clouded sulphur",26
"2016-SnS","2016","SnS","GIL","GIL-C","clouded sulphur",15
"2017-SnS","2017","SnS","GIL","GIL-C","clouded sulphur",8
"2014-Spr","2014","Spr","GIL","GIL-N","clouded sulphur",12
"2015-Spr","2015","Spr","GIL","GIL-N","clouded sulphur",5
"2016-Spr","2016","Spr","GIL","GIL-N","clouded sulphur",16
"2017-Spr","2017","Spr","GIL","GIL-N","clouded sulphur",5
"2014-Con","2014","Con","GIL","GIL-S","clouded sulphur",13
"2015-Con","2015","Con","GIL","GIL-S","clouded sulphur",8
"2016-Con","2016","Con","GIL","GIL-S","clouded sulphur",11
"2017-Con","2017","Con","GIL","GIL-S","clouded sulphur",3
"2014-Spr","2014","Spr","LTR","LTR-C","clouded sulphur",6
"2015-Spr","2015","Spr","LTR","LTR-C","clouded sulphur",11
"2016-Spr","2016","Spr","LTR","LTR-C","clouded sulphur",9
"2017-Spr","2017","Spr","LTR","LTR-C","clouded sulphur",3
"2014-SnS","2014","SnS","LTR","LTR-E","clouded sulphur",7
"2015-SnS","2015","SnS","LTR","LTR-E","clouded sulphur",26
"2016-SnS","2016","SnS","LTR","LTR-E","clouded sulphur",13
"2017-SnS","2017","SnS","LTR","LTR-E","clouded sulphur",11
"2014-Con","2014","Con","LTR","LTR-W","clouded sulphur",12
"2015-Con","2015","Con","LTR","LTR-W","clouded sulphur",12
"2016-Con","2016","Con","LTR","LTR-W","clouded sulphur",9
"2017-Con","2017","Con","LTR","LTR-W","clouded sulphur",4
"2014-Spr","2014","Spr","PYW","PYW-C","clouded sulphur",20
"2015-Spr","2015","Spr","PYW","PYW-C","clouded sulphur",19
"2016-Spr","2016","Spr","PYW","PYW-C","clouded sulphur",9
"2017-Spr","2017","Spr","PYW","PYW-C","clouded sulphur",6
"2014-SnS","2014","SnS","PYW","PYW-N","clouded sulphur",42
"2015-SnS","2015","SnS","PYW","PYW-N","clouded sulphur",29
"2016-SnS","2016","SnS","PYW","PYW-N","clouded sulphur",10
"2017-SnS","2017","SnS","PYW","PYW-N","clouded sulphur",4
"2014-Con","2014","Con","PYW","PYW-S","clouded sulphur",36
"2015-Con","2015","Con","PYW","PYW-S","clouded sulphur",36
"2016-Con","2016","Con","PYW","PYW-S","clouded sulphur",13
"2017-Con","2017","Con","PYW","PYW-S","clouded sulphur",5
"2016-SnS","2016","SnS","GIL","GIL-C","common buckeye",6
"2017-SnS","2017","SnS","GIL","GIL-C","common buckeye",8
"2015-Spr","2015","Spr","GIL","GIL-N","common buckeye",1
"2016-Spr","2016","Spr","GIL","GIL-N","common buckeye",8
"2017-Spr","2017","Spr","GIL","GIL-N","common buckeye",11
"2015-Con","2015","Con","GIL","GIL-S","common buckeye",1
"2016-Con","2016","Con","GIL","GIL-S","common buckeye",1
"2017-Con","2017","Con","GIL","GIL-S","common buckeye",4
"2016-Spr","2016","Spr","LTR","LTR-C","common buckeye",1
"2017-Spr","2017","Spr","LTR","LTR-C","common buckeye",4
"2015-SnS","2015","SnS","LTR","LTR-E","common buckeye",1
"2016-SnS","2016","SnS","LTR","LTR-E","common buckeye",5
"2017-SnS","2017","SnS","LTR","LTR-E","common buckeye",2
"2016-Con","2016","Con","LTR","LTR-W","common buckeye",1
"2017-Con","2017","Con","LTR","LTR-W","common buckeye",1
"2017-Spr","2017","Spr","PYW","PYW-C","common buckeye",4
"2016-Con","2016","Con","PYW","PYW-S","common buckeye",1
"2017-Con","2017","Con","PYW","PYW-S","common buckeye",4
"2014-SnS","2014","SnS","GIL","GIL-C","common wood nymph",15
"2016-SnS","2016","SnS","GIL","GIL-C","common wood nymph",3
"2014-Spr","2014","Spr","GIL","GIL-N","common wood nymph",1
"2015-Spr","2015","Spr","GIL","GIL-N","common wood nymph",1
"2016-Spr","2016","Spr","GIL","GIL-N","common wood nymph",2
