"Composite.Variable","Herbicide.Treatment","Year","Site","Patch","black-eyed susan","chicory","daisy fleabane","dandelion","grey-headed coneflower","ironweed","musk thistle","oxeye daisy","sweet black-eyed susan","yarrow","Abundance"
"2014-Con","Con",2014,"GIL","GIL-S",0,0,6,0,0,0,0,0,0,0,6
"2014-Con","Con",2014,"LTR","LTR-W",0,0,13,0,0,0,0,0,0,0,13
"2014-Con","Con",2014,"PYW","PYW-S",0,0,0,0,0,0,0,10,0,2,12
"2014-SnS","SnS",2014,"GIL","GIL-C",0,0,3,0,0,0,0,0,0,0,3
"2014-SnS","SnS",2014,"LTR","LTR-E",0,0,8,1,0,0,0,0,0,0,9
"2014-SnS","SnS",2014,"PYW","PYW-N",0,0,0,0,0,0,0,23,0,0,23
"2014-Spr","Spr",2014,"GIL","GIL-N",0,1,1,0,0,1,0,0,0,0,3
"2014-Spr","Spr",2014,"LTR","LTR-C",0,0,15,0,0,0,0,0,0,1,16
"2014-Spr","Spr",2014,"PYW","PYW-C",0,0,0,0,0,0,0,13,0,0,13
"2015-Con","Con",2015,"GIL","GIL-S",0,0,100,0,0,6,0,0,0,0,106
"2015-Con","Con",2015,"LTR","LTR-W",0,0,282,0,0,8,0,0,0,7,297
"2015-Con","Con",2015,"PYW","PYW-S",7,0,3,0,0,0,0,2,0,0,5
"2015-SnS","SnS",2015,"GIL","GIL-C",0,9,66,0,0,0,0,0,0,0,75
"2015-SnS","SnS",2015,"LTR","LTR-E",0,0,138,0,0,37,0,0,0,28,203
"2015-SnS","SnS",2015,"PYW","PYW-N",7,0,1,0,0,2,0,1,0,0,4
"2015-Spr","Spr",2015,"GIL","GIL-N",0,0,1,1,0,0,0,0,0,0,2
"2015-Spr","Spr",2015,"LTR","LTR-C",0,0,68,0,0,14,0,0,0,25,107
"2015-Spr","Spr",2015,"PYW","PYW-C",2,0,0,0,3,5,0,0,0,0,8
"2016-Con","Con",2016,"GIL","GIL-S",4,0,1,0,3,235,0,0,0,0,239
"2016-Con","Con",2016,"LTR","LTR-W",0,0,33,0,0,6,0,0,0,0,39
"2016-Con","Con",2016,"PYW","PYW-S",21,0,6,0,0,4,0,14,0,8,32
"2016-SnS","SnS",2016,"GIL","GIL-C",34,110,759,0,0,9,0,0,0,0,878
"2016-SnS","SnS",2016,"LTR","LTR-E",9,0,529,0,0,199,1,0,0,40,769
"2016-SnS","SnS",2016,"PYW","PYW-N",171,0,570,0,4,1,0,1429,0,2,2006
"2016-Spr","Spr",2016,"GIL","GIL-N",3,1,895,0,0,3,0,0,0,0,899
"2016-Spr","Spr",2016,"LTR","LTR-C",4,0,606,0,0,5,0,0,0,15,626
"2016-Spr","Spr",2016,"PYW","PYW-C",146,0,358,0,11,0,0,663,0,7,1039
"2017-Con","Con",2017,"GIL","GIL-S",0,11,116,0,0,49,0,0,0,0,176
"2017-Con","Con",2017,"LTR","LTR-W",0,0,76,0,0,20,0,0,0,1,97
"2017-Con","Con",2017,"PYW","PYW-S",12,0,30,0,0,0,0,47,3,1,81
"2017-SnS","SnS",2017,"GIL","GIL-C",1,83,369,1,4,46,0,0,6,0,509
"2017-SnS","SnS",2017,"LTR","LTR-E",9,0,455,0,5,319,0,0,0,59,838
"2017-SnS","SnS",2017,"PYW","PYW-N",21,0,230,0,13,0,0,201,0,0,444
"2017-Spr","Spr",2017,"GIL","GIL-N",0,15,681,0,3,0,0,0,0,0,699
"2017-Spr","Spr",2017,"LTR","LTR-C",0,0,876,0,0,54,0,0,0,34,964
"2017-Spr","Spr",2017,"PYW","PYW-C",41,0,304,0,0,0,0,600,3,21,928
