"Composite.Variable","Year","Herbicide.Treatment","Site","Patch","E","N","Percent.Native"
"2014-Con",2014,"Con","GIL","GIL-S",844,85,9.14962325080732
"2014-Con",2014,"Con","LTR","LTR-W",1389,37,2.59467040673212
"2014-Con",2014,"Con","PYW","PYW-S",3835,35,0.904392764857881
"2014-SnS",2014,"SnS","GIL","GIL-C",479,26,5.14851485148515
"2014-SnS",2014,"SnS","LTR","LTR-E",1694,38,2.19399538106236
"2014-SnS",2014,"SnS","PYW","PYW-N",3074,57,1.82050463110827
"2014-Spr",2014,"Spr","GIL","GIL-N",1748,10,0.568828213879408
"2014-Spr",2014,"Spr","LTR","LTR-C",178,51,22.2707423580786
"2014-Spr",2014,"Spr","PYW","PYW-C",1746,85,4.64227198252321
"2015-Con",2015,"Con","GIL","GIL-S",2062,327,13.6877354541649
"2015-Con",2015,"Con","LTR","LTR-W",925,347,27.2798742138365
"2015-Con",2015,"Con","PYW","PYW-S",3405,101,2.88077581289218
"2015-SnS",2015,"SnS","GIL","GIL-C",288,129,30.9352517985612
"2015-SnS",2015,"SnS","LTR","LTR-E",1615,360,18.2278481012658
"2015-SnS",2015,"SnS","PYW","PYW-N",2673,295,9.93935309973046
"2015-Spr",2015,"Spr","GIL","GIL-N",295,71,19.3989071038251
"2015-Spr",2015,"Spr","LTR","LTR-C",397,381,48.9717223650386
"2015-Spr",2015,"Spr","PYW","PYW-C",1219,387,24.0971357409714
"2016-Con",2016,"Con","GIL","GIL-S",1904,1118,36.9953673064196
"2016-Con",2016,"Con","LTR","LTR-W",1160,257,18.136908962597
"2016-Con",2016,"Con","PYW","PYW-S",2687,610,18.5016681831968
"2016-SnS",2016,"SnS","GIL","GIL-C",3017,1430,32.1565100067461
"2016-SnS",2016,"SnS","LTR","LTR-E",4442,1849,29.3911937688762
"2016-SnS",2016,"SnS","PYW","PYW-N",5311,2495,31.9625928772739
"2016-Spr",2016,"Spr","GIL","GIL-N",4777,1006,17.3958153207678
"2016-Spr",2016,"Spr","LTR","LTR-C",1663,750,31.0816411106506
"2016-Spr",2016,"Spr","PYW","PYW-C",4657,1267,21.3875759621877
"2017-Con",2017,"Con","GIL","GIL-S",2686,1199,30.8622908622909
"2017-Con",2017,"Con","LTR","LTR-W",659,244,27.0210409745293
"2017-Con",2017,"Con","PYW","PYW-S",7378,282,3.68146214099217
"2017-SnS",2017,"SnS","GIL","GIL-C",5334,716,11.8347107438017
"2017-SnS",2017,"SnS","LTR","LTR-E",4690,984,17.3422629538245
"2017-SnS",2017,"SnS","PYW","PYW-N",8303,1455,14.9108423857348
"2017-Spr",2017,"Spr","GIL","GIL-N",7363,780,9.57877931966106
"2017-Spr",2017,"Spr","LTR","LTR-C",1246,1239,49.8591549295775
"2017-Spr",2017,"Spr","PYW","PYW-C",7516,891,10.5983109313667
