"Composite.Variable","Herbicide.Treatment","Year","Site","Patch","alsike clover","birdsfoot trefoil","black medick","partridge pea","red clover","showy tick trefoil","white clover","white sweet clover","white wild indigo","yellow sweet clover","Abundance"
"2014-Con","Con",2014,"GIL","GIL-S",0,360,0,0,49,0,332,0,0,5,746
"2014-Con","Con",2014,"LTR","LTR-W",647,39,14,0,1,0,677,0,5,0,736
"2014-Con","Con",2014,"PYW","PYW-S",0,3282,2,1,420,0,66,0,0,0,3771
"2014-SnS","SnS",2014,"GIL","GIL-C",0,209,19,0,17,0,189,0,0,5,439
"2014-SnS","SnS",2014,"LTR","LTR-E",805,32,25,0,41,0,749,0,3,0,850
"2014-SnS","SnS",2014,"PYW","PYW-N",3,2923,8,0,56,0,17,6,1,5,3016
"2014-Spr","Spr",2014,"GIL","GIL-N",1,898,243,0,32,0,492,1,0,12,1678
"2014-Spr","Spr",2014,"LTR","LTR-C",0,28,0,0,2,0,83,0,0,0,113
"2014-Spr","Spr",2014,"PYW","PYW-C",0,1408,133,0,90,0,43,0,0,16,1690
"2015-Con","Con",2015,"GIL","GIL-S",0,763,0,0,24,0,1256,0,0,0,2043
"2015-Con","Con",2015,"LTR","LTR-W",11,0,0,0,26,0,844,0,3,1,874
"2015-Con","Con",2015,"PYW","PYW-S",0,2661,0,0,673,0,43,0,0,0,3377
"2015-SnS","SnS",2015,"GIL","GIL-C",0,30,0,0,0,0,240,0,0,0,270
"2015-SnS","SnS",2015,"LTR","LTR-E",0,4,0,0,47,0,1426,0,4,0,1481
"2015-SnS","SnS",2015,"PYW","PYW-N",0,2558,0,0,51,0,4,0,0,0,2613
"2015-Spr","Spr",2015,"GIL","GIL-N",0,143,0,0,2,0,149,0,0,0,294
"2015-Spr","Spr",2015,"LTR","LTR-C",0,24,0,5,3,0,358,0,3,10,403
"2015-Spr","Spr",2015,"PYW","PYW-C",0,958,0,20,153,0,20,0,0,0,1151
"2016-Con","Con",2016,"GIL","GIL-S",0,539,35,0,60,0,1123,0,0,0,1757
"2016-Con","Con",2016,"LTR","LTR-W",0,0,12,0,0,0,1057,0,0,1,1070
"2016-Con","Con",2016,"PYW","PYW-S",0,2052,10,0,537,0,12,0,0,10,2621
"2016-SnS","SnS",2016,"GIL","GIL-C",0,161,77,0,15,0,2111,0,0,5,2369
"2016-SnS","SnS",2016,"LTR","LTR-E",0,33,11,9,49,0,3644,0,2,5,3753
"2016-SnS","SnS",2016,"PYW","PYW-N",0,3073,110,0,351,0,29,27,0,27,3617
"2016-Spr","Spr",2016,"GIL","GIL-N",25,1123,17,0,40,0,2445,6,0,16,3647
"2016-Spr","Spr",2016,"LTR","LTR-C",0,7,15,11,5,0,1367,0,6,0,1411
"2016-Spr","Spr",2016,"PYW","PYW-C",0,2194,90,0,933,0,229,0,0,13,3459
"2017-Con","Con",2017,"GIL","GIL-S",0,960,27,0,437,0,1045,0,0,7,2476
"2017-Con","Con",2017,"LTR","LTR-W",0,0,105,0,25,0,380,0,4,8,522
"2017-Con","Con",2017,"PYW","PYW-S",0,6864,0,0,381,0,26,0,0,0,7271
"2017-SnS","SnS",2017,"GIL","GIL-C",537,1077,55,0,34,0,2727,0,0,14,3907
"2017-SnS","SnS",2017,"LTR","LTR-E",6,73,78,0,439,0,1107,0,1,0,1698
"2017-SnS","SnS",2017,"PYW","PYW-N",7,7628,23,0,311,0,59,3,3,0,8027
"2017-Spr","Spr",2017,"GIL","GIL-N",334,2434,71,0,62,0,2393,0,0,10,4970
"2017-Spr","Spr",2017,"LTR","LTR-C",182,167,193,7,18,15,399,0,11,0,810
"2017-Spr","Spr",2017,"PYW","PYW-C",7,5995,0,0,639,0,175,0,30,0,6839
