"Composite.Variable","Year","Herbicide.Treatment","Site","Family","Number"
"2014-Con",2014,"Con","GIL","Lycaenidae",14
"2015-Con",2015,"Con","GIL","Lycaenidae",3
"2016-Con",2016,"Con","GIL","Lycaenidae",4
"2017-Con",2017,"Con","GIL","Lycaenidae",8
"2014-SnS",2014,"SnS","GIL","Lycaenidae",14
"2015-SnS",2015,"SnS","GIL","Lycaenidae",2
"2016-SnS",2016,"SnS","GIL","Lycaenidae",27
"2017-SnS",2017,"SnS","GIL","Lycaenidae",16
"2014-Spr",2014,"Spr","GIL","Lycaenidae",18
"2015-Spr",2015,"Spr","GIL","Lycaenidae",1
"2016-Spr",2016,"Spr","GIL","Lycaenidae",24
"2017-Spr",2017,"Spr","GIL","Lycaenidae",37
"2014-Con",2014,"Con","LTR","Lycaenidae",51
"2016-Con",2016,"Con","LTR","Lycaenidae",2
"2017-Con",2017,"Con","LTR","Lycaenidae",2
"2014-SnS",2014,"SnS","LTR","Lycaenidae",9
"2015-SnS",2015,"SnS","LTR","Lycaenidae",3
"2016-SnS",2016,"SnS","LTR","Lycaenidae",6
"2017-SnS",2017,"SnS","LTR","Lycaenidae",7
"2014-Spr",2014,"Spr","LTR","Lycaenidae",4
"2015-Spr",2015,"Spr","LTR","Lycaenidae",1
"2016-Spr",2016,"Spr","LTR","Lycaenidae",12
"2017-Spr",2017,"Spr","LTR","Lycaenidae",5
"2014-Con",2014,"Con","PYW","Lycaenidae",44
"2015-Con",2015,"Con","PYW","Lycaenidae",3
"2016-Con",2016,"Con","PYW","Lycaenidae",13
"2017-Con",2017,"Con","PYW","Lycaenidae",24
"2014-SnS",2014,"SnS","PYW","Lycaenidae",79
"2015-SnS",2015,"SnS","PYW","Lycaenidae",1
"2016-SnS",2016,"SnS","PYW","Lycaenidae",15
"2017-SnS",2017,"SnS","PYW","Lycaenidae",2
"2014-Spr",2014,"Spr","PYW","Lycaenidae",21
"2015-Spr",2015,"Spr","PYW","Lycaenidae",1
"2016-Spr",2016,"Spr","PYW","Lycaenidae",16
"2017-Spr",2017,"Spr","PYW","Lycaenidae",4
