"Composite.Variable","Herbicide.Treatment","Year","Site","Patch","catnip","germander","hairy mountain mint","self-heal","slender mountain mint","wild bergamot","Abundance"
"2014-Con","Con",2014,"GIL","GIL-S",0,14,0,0,0,61,75
"2014-Con","Con",2014,"LTR","LTR-W",0,1,0,0,0,0,1
"2014-Con","Con",2014,"PYW","PYW-S",0,0,0,2,4,0,6
"2014-SnS","SnS",2014,"PYW","PYW-N",0,0,0,0,43,0,43
"2014-Spr","Spr",2014,"PYW","PYW-C",0,0,0,0,38,0,38
"2015-Con","Con",2015,"GIL","GIL-S",0,33,0,5,0,169,207
"2015-Con","Con",2015,"LTR","LTR-W",0,0,0,7,9,5,21
"2015-Con","Con",2015,"PYW","PYW-S",0,0,0,5,57,0,62
"2015-SnS","SnS",2015,"LTR","LTR-E",0,1,0,0,0,0,1
"2015-SnS","SnS",2015,"PYW","PYW-N",0,0,0,0,237,0,237
"2015-Spr","Spr",2015,"LTR","LTR-C",0,6,0,0,31,0,37
"2015-Spr","Spr",2015,"PYW","PYW-C",0,0,0,0,316,0,316
"2016-Con","Con",2016,"GIL","GIL-S",0,100,0,6,0,570,676
"2016-Con","Con",2016,"LTR","LTR-W",0,0,0,0,55,4,59
"2016-Con","Con",2016,"PYW","PYW-S",0,4,0,25,495,0,524
"2016-SnS","SnS",2016,"GIL","GIL-C",0,3,0,17,0,13,33
"2016-SnS","SnS",2016,"LTR","LTR-E",0,1,0,9,180,1,191
"2016-SnS","SnS",2016,"PYW","PYW-N",0,0,0,14,1668,0,1682
"2016-Spr","Spr",2016,"GIL","GIL-N",0,0,0,65,0,0,65
"2016-Spr","Spr",2016,"LTR","LTR-C",0,0,0,5,3,7,15
"2016-Spr","Spr",2016,"PYW","PYW-C",0,0,0,13,696,0,709
"2017-Con","Con",2017,"GIL","GIL-S",0,66,0,33,0,921,1020
"2017-Con","Con",2017,"LTR","LTR-W",0,0,0,0,119,0,119
"2017-Con","Con",2017,"PYW","PYW-S",0,0,0,0,195,0,195
"2017-SnS","SnS",2017,"GIL","GIL-C",0,48,0,8,55,29,140
"2017-SnS","SnS",2017,"LTR","LTR-E",3,22,0,2,5,8,37
"2017-SnS","SnS",2017,"PYW","PYW-N",0,7,0,10,1133,1,1151
"2017-Spr","Spr",2017,"GIL","GIL-N",0,6,0,12,3,54,75
"2017-Spr","Spr",2017,"LTR","LTR-C",0,19,34,2,139,11,205
"2017-Spr","Spr",2017,"PYW","PYW-C",0,0,0,89,352,0,441
