"Composite.Variable","Year","Herbicide.Treatment","Site","Family","Number"
"2014-Con",2014,"Con","GIL","Pieridae",24
"2015-Con",2015,"Con","GIL","Pieridae",26
"2016-Con",2016,"Con","GIL","Pieridae",39
"2017-Con",2017,"Con","GIL","Pieridae",16
"2014-SnS",2014,"SnS","GIL","Pieridae",18
"2015-SnS",2015,"SnS","GIL","Pieridae",77
"2016-SnS",2016,"SnS","GIL","Pieridae",68
"2017-SnS",2017,"SnS","GIL","Pieridae",37
"2014-Spr",2014,"Spr","GIL","Pieridae",22
"2015-Spr",2015,"Spr","GIL","Pieridae",60
"2016-Spr",2016,"Spr","GIL","Pieridae",73
"2017-Spr",2017,"Spr","GIL","Pieridae",31
"2014-Con",2014,"Con","LTR","Pieridae",23
"2015-Con",2015,"Con","LTR","Pieridae",25
"2016-Con",2016,"Con","LTR","Pieridae",34
"2017-Con",2017,"Con","LTR","Pieridae",33
"2014-SnS",2014,"SnS","LTR","Pieridae",18
"2015-SnS",2015,"SnS","LTR","Pieridae",56
"2016-SnS",2016,"SnS","LTR","Pieridae",96
"2017-SnS",2017,"SnS","LTR","Pieridae",45
"2014-Spr",2014,"Spr","LTR","Pieridae",14
"2015-Spr",2015,"Spr","LTR","Pieridae",32
"2016-Spr",2016,"Spr","LTR","Pieridae",53
"2017-Spr",2017,"Spr","LTR","Pieridae",34
"2014-Con",2014,"Con","PYW","Pieridae",53
"2015-Con",2015,"Con","PYW","Pieridae",55
"2016-Con",2016,"Con","PYW","Pieridae",36
"2017-Con",2017,"Con","PYW","Pieridae",17
"2014-SnS",2014,"SnS","PYW","Pieridae",60
"2015-SnS",2015,"SnS","PYW","Pieridae",47
"2016-SnS",2016,"SnS","PYW","Pieridae",22
"2017-SnS",2017,"SnS","PYW","Pieridae",17
"2014-Spr",2014,"Spr","PYW","Pieridae",31
"2015-Spr",2015,"Spr","PYW","Pieridae",34
"2016-Spr",2016,"Spr","PYW","Pieridae",38
"2017-Spr",2017,"Spr","PYW","Pieridae",10
