"Year","Site","Patch","Adaptive.Mgmt","Herb.Trt","alsike clover","antelope horns","birdsfoot trefoil","black medick","black-eyed susan","blue-eyed grass","broadleaf plantain","butterfly milkweed","canada anemone","catnip","chickweed","chicory","common cinquefoil","common milkweed","common mullein","corn speedwell","daisy fleabane","dandelion","deptford pink","field milkwort","fieldcress","flowering spurge","germander","grey-headed coneflower","grooved yellow flax","ground cherry","hairy mountain mint","hawkweed","hoary vervain","horsenettle","ironweed","morning glory","moth mullein","multiflora rose","musk thistle","oxeye daisy","pale spike lobelia","partridge pea","prairie cinquefoil","prairie petunia","prairie rose","queen anne's lace","rapeseed","red clover","ribwort plantain","sawtooth sunflower","self-heal","showy tick trefoil","slender mountain mint","spotted st. john's wort","st. john's wort","sulfur cinquefoil","swamp agrimony","swamp vervain","tall green milkweed","white clover","white sweet clover","white vervain","white wild indigo","whorled milkweed","wild bergamot","wild parsnip","yarrow","yellow oxalis","yellow sweet clover","Abundance","Richness","Diversity"
14,"GIL","GIL-C","GB","SnS",0,0,209,19,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,1,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,9,5,344,12,1.42129466325845
14,"GIL","GIL-N","GB","Spr",1,0,881,243,0,0,0,0,0,0,1,1,3,0,0,0,1,0,28,0,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,8,0,32,0,0,0,0,0,0,0,0,0,0,0,492,1,0,0,0,0,0,0,1,12,1712,17,1.24245948212649
14,"GIL","GIL-S","GB","Con",0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,18,0,1,0,14,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,77,0,49,0,0,0,0,0,0,0,0,0,0,0,332,0,0,0,0,61,2,0,0,5,929,13,1.52284081359888
14,"LTR","LTR-C","GB","Spr",0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,25,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,32,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,1,0,0,189,9,1.56537514742952
14,"LTR","LTR-E","GB","SnS",0,0,32,25,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,0,0,0,0,0,0,0,0,0,7,4,0,0,1,0,0,0,0,0,0,14,0,2,0,41,0,0,0,0,0,0,0,0,0,0,0,257,0,0,3,0,0,0,0,0,0,397,13,1.32760942404133
14,"LTR","LTR-W","GB","Con",647,0,39,14,0,0,0,0,0,0,0,0,0,0,0,0,13,0,11,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,677,0,0,5,0,0,0,0,0,0,1426,13,1.03121297172947
14,"PYW","PYW-C","GB","Spr",0,0,1408,133,0,0,0,17,0,0,0,0,0,0,0,0,0,0,43,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,26,0,0,0,90,0,0,0,0,38,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,16,1807,12,0.950958755651948
14,"PYW","PYW-N","GB","SnS",3,0,2923,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,2,0,0,8,0,0,0,56,0,0,0,0,43,0,0,0,0,0,0,17,6,0,1,0,0,0,0,0,5,3131,16,0.381852174634798
14,"PYW","PYW-S","GB","Con",0,0,1282,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,11,0,0,0,420,0,0,2,0,4,0,0,0,0,0,0,66,0,0,0,0,0,0,2,0,0,1840,14,0.90076814327447
15,"GIL","GIL-C","GB-IC","SnS",0,0,30,0,0,0,0,0,0,0,3,9,0,0,0,0,66,0,0,0,0,0,0,0,0,1,0,0,22,17,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,1,0,0,0,0,0,22,0,417,11,1.44819800669135
15,"GIL","GIL-N","GB-IC","Spr",0,0,143,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,65,0,246,9,1.10144671899287
15,"GIL","GIL-S","GB-IC","Con",0,0,664,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,6,3,6,0,0,0,0,0,0,0,0,2,0,12,0,24,0,0,5,0,0,0,0,0,0,0,0,614,0,0,0,0,169,0,0,3,0,1548,13,1.27474897692724
15,"LTR","LTR-C","GB-IC","Spr",0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,6,0,0,0,0,0,116,5,14,0,0,0,0,0,0,5,0,23,0,2,0,3,0,0,0,0,31,0,0,0,0,0,0,111,0,0,3,3,0,0,25,82,0,521,16,2.1620216000824
15,"LTR","LTR-E","GB-IC","SnS",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0,0,1,0,0,0,0,0,80,17,37,0,0,0,0,0,0,0,0,8,0,137,0,47,0,0,0,0,0,0,0,0,0,1,0,1426,0,12,4,0,0,0,28,34,0,1862,16,1.03367709357159
15,"LTR","LTR-W","GB-IC","Con",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,9,1,8,0,0,0,0,0,0,0,0,11,1,41,0,26,0,0,7,0,9,0,2,0,0,3,0,279,0,0,3,1,5,0,7,0,1,707,19,1.53797548014654
15,"PYW","PYW-C","GB-IC","Spr",0,0,88,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,5,20,0,1,0,84,0,153,0,0,0,0,316,0,0,0,0,0,0,20,0,0,0,0,0,0,0,2,0,703,13,1.57356021280263
15,"PYW","PYW-N","GB-IC","SnS",0,0,2558,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,19,0,59,0,4,0,0,0,0,237,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2893,11,0.47225301190731
15,"PYW","PYW-S","GB-IC","Con",0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,1,16,0,26,0,0,0,0,5,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,9,1.63736726140739
16,"GIL","GIL-C","GB-IC","SnS",0,0,161,77,0,0,0,0,0,0,0,0,0,0,0,0,759,0,96,0,0,0,3,0,0,0,0,0,63,2,9,0,0,0,0,0,0,0,1,1,0,228,0,15,152,0,17,0,0,0,0,0,0,58,0,0,0,0,0,0,13,0,0,10,5,1670,18,1.85162702814027
