Common Name,Genus,species,Family,Seedmix,L48 Status,Bfly Resource,Bee Resource,Other Common Names
Yarrow,Achillea,millefollium,Asteraceae,O,N,X,X,
Swamp Agrimony,Agrimonia,parviflora,Rosaceae,O,N,,,
Wild Garlic,Allium,ursinum,Amaryllidaceae,O,E,,,
Lead plant,Amorpha,canescens,Fabaceae,X,N,X,X,
Canada Anemone,Anemone,canadensis,Ranunculaceae,O,N,O,X,
Thimbleweed,Anemone,cylindrica,Ranunculaceae,O,N,O,X,
Pussy Toes,Antennaria,plantaginifolia,Asteraceae,O,N,,,
Dogbane,Apocynum,cannabinum,Apocynaceae,O,N,X,X,
Tall Green Milkweed,Asclepias,hirtella,Apocynaceae,O,N,,,
Swamp Milkweed,Asclepias,incarnata,Apocynaceae,X,N,X,X,
Purple Milkweed,Asclepias,purpurascens,Apocynaceae,O,N,,,
Common Milkweed,Asclepias,syriaca,Apocynaceae,X,N,X,X,
Butterfly Milkweed,Asclepias,tuberosa,Apocynaceae,X,N,X,X,
Whorled Milkweed,Asclepias,verticillata,Apocynaceae,O,N,O,X,
White Wild Indigo,Baptisia,alba,Fabaceae,X,N,O,X,Wild White Indigo; Wild Indigo; White Indigo
Rapeseed,Brassica,napus,Brassicaceae,O,E,,,
Shepherd's Purse,Capsella,bursa-pastoris,Brassicaceae,O,E,,,
Musk Thistle,Carduus,nutans,Asteraceae,O,E,,,
Partridge Pea,Chamaecrista,fasciculata,Fabaceae,O,N,X,O,
Chicory,Cichorium,intybus,Asteraceae,O,E,,,
Morning Glory,Convolvulus,arvensis,Convolvulaceae,O,E,X,X,Bindweed; Field Bindweed
Prairie Coreopsis,Coreopsis,palmata,Asteraceae,X,N,X,X,
Tall Coreopsis,Coreopsis,tripteris,Asteraceae,X,N,,,
Osier Dogwood,Cornus,sericea,Cornaceae,O,N,,,
White Prairie Clover,Dalea,candida,Fabaceae,O,N,X,X,
Purple Prairie Clover,Dalea,purpurea,Fabaceae,X,N,X,X,
Queen Anne's Lace,Daucus,carota,Apiaceae,O,E,X,X,
Illinois bundleflower,Desmanthus,illinoensis,Fabaceae,X,N,,,
Showy Tick Trefoil,Desmodium,canadense,Fabaceae,X,N,X,X,
Deptford Pink,Dianthus,armeria,Caryophyllaceae,O,E,,,
Prairie Cinquefoil,Drymocallis,arguta,Rosaceae,X,N,O,X,
Pale Purple Coneflower,Echinacea,pallida,Asteraceae,X,N,X,X,
Purple Coneflower,Echinacea,purpurea,Asteraceae,X,N,,,
Daisy Fleabane,Erigeron,annuus,Asteraceae,O,N,,,
Rattlesnake Master,Eryngium,yuccifolium,Apiaceae,X,N,X,X,
Tall boneset,Eupatorium,altissimum,Asteraceae,X,N,,,
Flowering Spurge,Euphorbia,corollata,Euphorbiaceae,O,N,X,X,
Strawberry,Fragaria,virginiana,Rosaceae,O,N,X,X,
Bedstraw,Galium,aparine,Rubiaceae,O,E,,,
Pretty Bedstraw,Galium,concinnum,Rubiaceae,O,N,,,
Sawtooth Sunflower,Helianthus,grosseserratus,Asteraceae,O,N,X,X,
Oxeye Sunflower,Heliopsis,helianthoides,Asteraceae,X,N,X,X,False Sunflower
Alum root,Heuchera,richardsonii,Saxifragaceae,X,N,O,X,
St. John's Wort,Hypericum,perforatum,Hypericaceae,O,E,O,X,
Spotted St. John's Wort,Hypericum,punctatum,Hypericaceae,X,N,,,
Fieldcress,Lepidium,campestre,Brassicaceae,O,E,,,
Round-headed Bush Clover,Lespedeza,capitata,Fabaceae,X,N,X,X,
Oxeye Daisy,Leucanthemum,vulgare,Asteraceae,O,E,,,
Cylindrical blazing star,Liatris,cylindracea,Asteraceae,X,N,,,
Prairie Blazing Star,Liatris,pycnostachya,Asteraceae,X,N,X,X,
Grooved Yellow Flax,Linum,sulcatum,Linaceae,O,N,,,
Cardinal flower,Lobelia,cardinalis,Campanulaceae,X,N,,,
Great blue lobelia,Lobelia,siphilitica,Campanulaceae,X,N,,,
Pale Spike Lobelia,Lobelia,spicata,Campanulaceae,X,N,X,X,
Birdsfoot Trefoil,Lotus,corniculatus,Fabaceae,O,E,X,X,
Fringed Loosestrife,Lysimachia,ciliata,Primulaceae,O,N,O,X,
Winged Loosestrife,Lythrum,alatum,Lythraceae,O,N,X,X,
Black Medick,Medicago,lupulina,Fabaceae,O,E,X,O,
Alfalfa,Medicago,sativa,Fabaceae,O,E,X,O,
Virginia Bunchflower,Melanthium,virginicum,Liliaceae,O,N,,,
White Sweet Clover,Melilotus,albus,Fabaceae,O,E,X,X,
Yellow Sweet Clover,Melilotus,officinalis,Fabaceae,O,E,X,X,
Field Mint,Mentha,arvensis,Lamiaceae,O,N,,,
Wild Bergamot,Monarda,fistulosa,Lamiaceae,X,N,X,X,Bee Balm
Catnip,Nepetia,cataria,Lamiaceae,O,E,O,X,
Primrose,Oenothera,biennis,Primulaceae,X,N,,,
Yellow Oxalis,Oxalis,stricta,Oxalidaceae,O,N,X,O,Wood Sorrel
Prairie Ragwort,Packera,plattensis,Asteraceae,O,N,,,
Wild Quinine,Parthenium,integrifolium,Asteraceae,X,N,,,
Wild Parsnip,Pastinaca,sativa,Apiaceae,O,E,X,X,
Lady's Thumb,Persicaria,maculosa,Polygonaceae,O,E,,,
Ground Cherry,Physalis,virginiana,Solanaceae,O,N,,,
Ribwort Plantain,Plantago,lanceolata,Plantaginaceae,O,E,,,Lance-Leaf Plantain
Broadleaf Plantain,Plantago,major,Plantaginaceae,O,E,,,Common Plantain
Field Milkwort,Polygala,sanguinea,Polygalaceae,O,N,,,
Downy Cinquefoil,Potentilla,intermedia,Rosaceae,O,E,,,
Sulfur Cinquefoil,Potentilla,recta,Rosaceae,O,E,X,X,
Common Cinquefoil,Potentilla,simplex,Rosaceae,O,N,X,X,
Self-heal,Prunella,vulgaris,Lamiaceae,O,N,,,Heal All
Prairie Turnip,Psoralea,esculenta,Fabaceae,O,N,,,
Hairy Mountain Mint,Pycnanthemum,pilosum,Lamiaceae,O,N,,,
Slender Mountain Mint,Pycnanthemum,tenuifolium,Lamiaceae,X,N,,,
Buttercup,Ranunculus,sp.,Ranunculaceae,O,E,,,
Grey-Headed Coneflower,Ratibida,pinnata,Asteraceae,X,N,X,X,
Prairie Rose,Rosa,arkansana,Rosaceae,O,N,X,X,
Multiflora Rose,Rosa,multiflora,Rosaceae,O,E,,,
Blackberry,Rubus,sp.,Rosaceae,O,N,,,
Black-Eyed Susan,Rudbeckia,hirta,Asteraceae,X,N,X,X,
Sweet black-eyed susan,Rudbeckia,subtomentosa,Asteraceae,X,N,X,X,
Prairie Petunia,Ruellia,humilis,Acanthaceae,X,N,,,
Crown Vetch,Securigera,varia,Fabaceae,O,E,,,
White Campion,Silene,latifolia,Caryophyllaceae,O,E,,,
Rosinweed,Silphium,integrifolium,Asteraceae,X,N,X,X,
Compass Plant,Silphium,laciniatum,Asteraceae,O,N,X,X,
Cup plant,Silphium,perfoliatum,Asteraceae,X,N,X,X,
Blue-Eyed Grass,Sisyrinchium,angustifolium,Iridaceae,X,N,,,
Horsenettle,Solanum,carolinense,Solanaceae,O,N,,,
Old Field Goldenrod,Solidago,nemoralis,Asteraceae,O,N,,,
Stiff goldenrod,Solidago,rigida,Asteraceae,X,N,,X,
Showy Goldenrod,Solidago,speciosa,Asteraceae,O,N,,,
Chickweed,Stellaria,media,Caryophyllaceae,O,E,,,Lesser Stitchwort
New England Aster,Symphyotrichum,novae-angliae,Asteraceae,O,N,,,
Sky-blue aster,Symphyotrichum,oolentangiense,Asteraceae,X,N,,,
Silky aster,Symphyotrichum,sericeus,Asteraceae,X,N,,,
Dandelion,Taraxacum,officinale,Asteraceae,O,N,X,X,
Germander,Teucrium,canadense,Lamiaceae,X,N,O,X,
Field Pennycress,Thlaspi,arvense,Brassicaceae,O,E,,,
Spiderwort,Tradescantia,ohiensis,Commelinaceae,X,N,,,
Alsike Clover,Trifolium,hybridum,Fabaceae,O,E,,,
Red Clover,Trifolium,pratense,Fabaceae,O,E,X,X,
White Clover,Trifolium,repens,Fabaceae,O,E,X,O,
Venus' Looking Glass,Triodanis,perfoliata,Campanulaceae,O,N,,,
Moth Mullein,Verbascum,blattaria,Scrophulariaceae,O,N,,,Prairie Mullein
Swamp Vervain,Verbena,hastata,Verbenaceae,O,N,O,X,
Hoary Vervain,Verbena,stricta,Verbenaceae,O,N,X,X,
White Vervain,Verbena,urticifolia,Verbenaceae,O,N,,,
Ironweed,Vernonia,fasciculata,Asteraceae,X,N,,,
Corn Speedwell,Veronica,arvensis,Plantaginaceae,O,E,,,
Culver's Root,Veronicastrum,virginicum,Plantaginaceae,X,N,X,X,
Baldwin's Ironweed,Vernonia,baldwinii,Asteraceae,O,N,,,
Golden Alexander,Zizia,aurea,Apiaceae,X,N,X,X,
