ButterflyTransID,Data Code,DataCodeSansHyphens,Pasture,Patch,Whittaker,Date,Nectar Observer,Nectar Data Enterer,Nectar Entry Date,Bfly Observer,Butterfly Data Enterer,Butterfly Entry Date,Round,Wind,Temperature,Cloud Cover,Start Time,End Time,Comments,Comments 2,BtflyData Checked by,NectData Checked By
1468,RIN-S1-14-R1,,Ringgold North,South,1,6/6/14,Audrey McCombs,Ray Moranz,6/6/14,Ray Moranz,Ray Moranz,6/6/14,1,3.4 km/hr,26,4,10:26,10:36:30,gorgeous weather; saw 3 great spangled fritillaries and 1 summer azure nectaring on dogwood shrubs along pond on way to transect,,Anna Holtermann,Anna Holtermann
1469,RIN-W1-14-R1,,Ringgold North,West,1,6/6/14,Audrey McCombs,Ray Moranz,6/6/14,Ray Moranz,Ray Moranz,6/6/14,1,2.2 km/hr,27,17,11:07,11:26,,,Anna Holtermann,Anna Holtermann
1470,RIN-E1-14-R1,,Ringgold North,East,1,6/6/14,Audrey McCombs,Ray Moranz,6/6/14,Ray Moranz,Ray Moranz,6/6/14,1,1.8 km/hr,26.7,50,11:50,12:01,"saw 1 monarch, 1 great spangled, 1 american lady just before transect started",,Anna Holtermann,Anna Holtermann
1471,PYS-S1-14-R1,,Pyland South,South,1,6/6/14,Ray Moranz,Ray Moranz,6/8/14,Audrey McCombs,Ray Moranz,6/8/14,1,5.2 km/hr,27.1,30,13:37,13:54,"this patch was burned this year, and has been HEAVILY grazed",,Anna Holtermann,Anna Holtermann
1472,PYS-N1-14-R1,,Pyland South,North,1,6/6/14,Audrey McCombs,Audrey McCombs,6/9/14,Ray Moranz,Ray Moranz,6/8/14,1,4.6 km/hr,28.5,30,14:20,14:33,foliage of some forbs (incl. orange-fruited horse gentian) is in tatters due to 90 mph winds of Tues. June 3rd,,Anna Holtermann,Anna Holtermann
1473,PYS-W1-14-R1,,Pyland South,West,1,6/6/14,Audrey McCombs,Audrey McCombs,6/9/14,Ray Moranz,Ray Moranz,6/8/14,1,3.3 km/hr,27.8,60,15:08,15:20,some plants bent over by storm winds of June 3rd,,Anna Holtermann,Anna Holtermann
1474,PYW-S1-14-R1,,Pyland West,South,1,6/6/14,Audrey McCombs,Audrey McCombs,6/9/14,Ray Moranz,Ray Moranz,6/8/14,1,3.1 km/hr,27.9,15,15:35,15:47,"great butterfly weather, but I'm struck that Pyland S and Pyland W are STILL dominated by tall fescue…yuk",,Anna Holtermann,Anna Holtermann
1475,PYW-N1-14-R1,,Pyland West,North,1,6/9/14,Audrey McCombs,Audrey McCombs,6/11/14,Ray Moranz,Ray Moranz,6/12/14,1,6.5 km/hr,23.4,100 thin,14:45,14:59,"there is Asclepias tuberosa plant 20 cm East of tape, 21 meters South of start. Plant has 2 stems, neither of which will bloom this year",,Anna Holtermann,Anna Holtermann
1476,RIS-S1-14-R1,,Ringgold South,South,1,6/11/14,Audrey McCombs,Audrey McCombs,6/11/14,Ray Moranz,Ray Moranz,6/12/14,1,4.6 km/hr,21.3,0,10:07,10:18,heavenly weather; saw 1 great spangled frit. And 1 tiger swallowtail before transect began,,Anna Holtermann,Anna Holtermann
1477,RIS-C1-14-R1,,Ringgold South,Center,1,6/11/14,Audrey McCombs,Audrey McCombs,6/11/14,Ray Moranz,Ray Moranz,6/12/14,1,2.2 km/hr,21.4,0,10:50,11:02:30,"At Ringgold West today, Karin G. saw Echinacea pallida just starting to bloom, and Asclepias purpurascens in bud.",It got burned within last 8 months,Anna Holtermann,Anna Holtermann
1478,RIS-N1-14-R1,,Ringgold South,North,1,6/11/14,Audrey McCombs,Audrey McCombs,6/11/14,Ray Moranz,Ray Moranz,6/12/14,1,5.9 km/hr,22.5,0,11:32,11:43:45,saw 1 question mark laying egg on 30 cm tall elm resprout before transect started,,Anna Holtermann,Anna Holtermann
1479,KLN-E1-14-R1,,Kellerton North,East,1,6/11/14,Audrey McCombs,Audrey McCombs,6/11/14,Ray Moranz,Ray Moranz,6/12/14,1,3.7 km/hr,24.3,0,13:34,13:49,,,Anna Holtermann,Anna Holtermann
1480,KLN-C1-14-R1,,Kellerton North,Center,1,6/11/14,Audrey McCombs,Audrey McCombs,6/11/14,Ray Moranz,Ray Moranz,6/12/14,1,2.8 km/hr,26.4,2,14:00,14:11:15,,,Anna Holtermann,Anna Holtermann
1481,KLN-W1-14-R1,,Kellerton North,West,1,6/11/14,Audrey McCombs,Audrey McCombs,6/11/14,Ray Moranz,Ray Moranz,6/12/14,1,3.1 km/hr,27.3,1,14:32,14:44,monarch flew overhead before transect started,,Anna Holtermann,Anna Holtermann
1482,KLT-E1-14-R1,,Kellerton Tauke,East,1,6/11/14,Audrey McCombs,Audrey McCombs,6/11/14,Ray Moranz,Ray Moranz,6/12/14,1,5.9 km/hr,26,0,16:02,16:14,,,Anna Holtermann,Anna Holtermann
1483,KLT-W1-14-R1,,Kellerton Tauke,West,1,6/11/14,Audrey McCombs,Audrey McCombs,6/11/14,Ray Moranz,Ray Moranz,6/12/14,1,3.5 km/hr,26.4,0,16:34,16:45:15,moved transect 5 m EAST of waypoint to get it farther from W 2,,Anna Holtermann,Anna Holtermann
1484,LTR-W1-14-R1,,Lee Trail Rd,West,1,6/12/14,Audrey McCombs,Audrey McCombs,6/13/14,Ray Moranz,Ray Moranz,6/14/14,1,8.5 km/hr,22,30,14:26,14:41,,,Anna Holtermann,Anna Holtermann
1485,LTR-C1-14-R1,,Lee Trail Rd,Center,1,6/12/14,Audrey McCombs,Audrey McCombs,6/13/14,Ray Moranz,Ray Moranz,6/14/14,1,4.9 km/hr,22.4,8,15:00,15:12,saw 1 yarrow off tansect,,Anna Holtermann,Anna Holtermann
1486,LTR-E1-14-R1,,Lee Trail Rd,East,1,6/12/14,Audrey McCombs,Audrey McCombs,6/13/14,Ray Moranz,Ray Moranz,6/14/14,1,10.0 km/hr,23.7,15,15:32,15:42:15,,,Anna Holtermann,Anna Holtermann
1487,PAW-S1-14-R1,,Pawnee Prairie,South,1,6/13/14,Veronica Mecko,Audrey McCombs,6/13/14,Ray Moranz,Ray Moranz,6/14/14,1,3.4 km/hr,22,1,11:52,12:04,saw 4 regal fritillaries at top of hill before transect.,other regals seeking floral resources in recently burned area to south,Anna Holtermann,Anna Holtermann
1488,PAW-E1-14-R1,,Pawnee Prairie,East,1,6/13/14,Veronica Mecko,Audrey McCombs,6/13/14,Ray Moranz,Ray Moranz,6/14/14,1,3.5 km/hr,22,0,12:44,13:00,saw 1 two-spotted skipper (FOY) at streamside on our way to this transect;,Asclepias purpurascens in early bloom,Anna Holtermann,Anna Holtermann
1489,PAW-W1-14-R1,,Pawnee Prairie,West,1,6/13/14,Veronica Mecko,Audrey McCombs,6/13/14,Ray Moranz,Ray Moranz,6/14/14,1,4.4 km/hr,23.9,1,13:50,14:02,,,Anna Holtermann,Anna Holtermann
1490,KLT-S1-14-R1,,Kellerton Tauke,South,1,6/13/14,Audrey McCombs,Audrey McCombs,6/13/14,Ray Moranz,Ray Moranz,6/14/14,1,7.4 km/hr,24.1,0,17:50,18:01,,,Anna Holtermann,Anna Holtermann
1491,PYN-S1-14-R1,,Pyland North,South,1,6/15/14,Audrey McCombs,Audrey McCombs,6/15/14,Ray Moranz,Ray Moranz,6/15/14,1,13.4 km/hr,25.5,40,14:12,14:14:15,,,Anna Holtermann,Anna Holtermann
1492,PYN-N1-14-R1,,Pyland North,North,1,6/15/14,Audrey McCombs,Audrey McCombs,6/15/14,Ray Moranz,Ray Moranz,6/15/14,1,10.3 km/hr,24.8,40,15:04,15:16,,,Anna Holtermann,Anna Holtermann
1493,PYN-W1-14-R1,,Pyland North,West,1,6/15/14,Audrey McCombs,Audrey McCombs,6/15/14,Ray Moranz,Ray Moranz,6/15/14,1,8.1 km/hr,25.4,25,15:40,15:55,,,Anna Holtermann,Anna Holtermann
1494,PYW-C1-14-R1,,Pyland West,Center,1,6/15/14,Audrey McCombs,Audrey McCombs,6/15/14,Ray Moranz,Ray Moranz,6/17/14,1,6.5 km/hr,25.3,50,16:18,16:40,took 8 minute break from 16:23 to 16:31 to take important phone call,,Anna Holtermann,Anna Holtermann
1495,GIL-S2-14-R1,,Gilleland,South,2,6/15/14,Audrey McCombs,Audrey McCombs,6/15/14,Ray Moranz,Ray Moranz,6/17/14,1,4.5 km/hr,27.2,10,17:36,17:53,,,Anna Holtermann,Anna Holtermann
1496,GIL-N1-14-R1,,Gilleland,North,1,6/16/14,Audrey McCombs,Ray Moranz,6/17/14,Ray Moranz,Ray Moranz,6/18/14,1,9.9 km/hr,25.5,60 thin,9:32,9:50,nectar observer saw 1 ETB and 1 cabbage white while running out transect;,I saw one great spangled AFTER transect was completed,Anna Holtermann,Anna Holtermann
1497,GIL-C1-14-R1,,Gilleland,Center,1,6/16/14,Audrey McCombs,Ray Moranz,6/17/14,Ray Moranz,Ray Moranz,6/18/14,1,5.7 km/hr,28.4,50 thin,11:30,11:40:30,"cloud cover increased at 11:35 am, but sun shone thru",second try today (earlier try was stopped halfway through due to clouds),Anna Holtermann,Anna Holtermann
1498,GIL-S1-14-R1,,Gilleland,South,1,6/18/14,Audrey McCombs,Audrey McCombs,7/2/14,Ray Moranz,Ray Moranz,6/19/14,1,6.2 km/hr,27.2,25,9:44,9:54:30,"in spot protected from wind (but even on the ridgetops, winds are low enough to sample)",,Anna Holtermann,Anna Holtermann
1499,GIL-C2-14-R1,,Gilleland,Center,2,6/18/14,Audrey McCombs,Audrey McCombs,7/2/14,Ray Moranz,Ray Moranz,6/19/14,1,12.1 km/hr,27.2,40,10:14,10:24:45,,,Anna Holtermann,Anna Holtermann
1500,GIL-N2-14-R1,,Gilleland,North,2,6/18/14,Audrey McCombs,Audrey McCombs,7/2/14,Ray Moranz,Ray Moranz,6/19/14,1,6.4 km/hr,29.1,30,10:42,12:47,transect halted from 10:48 to 12:40 due to cloud cover,warm and humid,Anna Holtermann,Anna Holtermann
1501,RCH-C2-14-R1,,Richardson,Center,2,6/18/14,Audrey McCombs,Audrey McCombs,7/2/14,Ray Moranz,Ray Moranz,6/19/14,1,6.7 km/hr,30.6,20,13:48,14:01,**This was transect S1 in past years.,all trees within grasslands at Richardson have been chopped down!,Anna Holtermann,Anna Holtermann
1502,RCH-E2-14-R1,,Richardson,East,2,6/18/14,Audrey McCombs,Audrey McCombs,7/2/14,Ray Moranz,Ray Moranz,6/19/14,1,12.9 km/hr,30.9,15,14:28,14:40,**This was transect S2 in past years.,,Anna Holtermann,Anna Holtermann
1503,STE-W1-14-R1,,Sterner,West,1,6/20/14,Audrey McCombs,Audrey McCombs,7/2/14,Ray Moranz,Ray Moranz,6/22/14,1,1.9 km/hr,26.7,8,9:33,9:45:30,,,Anna Holtermann,Anna Holtermann
1504,STE-W2-14-R1,,Sterner,West,2,6/20/14,Audrey McCombs,Audrey McCombs,7/2/14,Ray Moranz,Ray Moranz,6/22/14,1,2.7 km/hr,27.3,5,10:02,10:17:30,saw 1 two-spotted skipper when I left the transect to get a closer look at the zebra swallowtail.,"What great butterfly weather!!! Butterflies love this warm, humid, and wind-less weather.",Anna Holtermann,Anna Holtermann
1505,STE-S1-14-R1,,Sterner,South,1,6/20/14,Audrey McCombs,Audrey McCombs,7/2/14,Ray Moranz,Ray Moranz,6/22/14,1,2.0 km/hr,30.1,10,11:15,11:35,,,Anna Holtermann,Anna Holtermann
1506,RCH-Y1-14-R1,,Richardson,Y,1,6/20/14,Ray Moranz,Audrey McCombs,7/2/14,Ray Moranz,Ray Moranz,6/22/14,1,3.5 km/hr,29.2,0,12:59,13:11,New patch created this year. This patch was clearly burned this spring.,,Anna Holtermann,Anna Holtermann
1507,RCH-Y2-14-R1,,Richardson,Y,2,6/20/14,Audrey McCombs,Audrey McCombs,7/2/14,Ray Moranz,Ray Moranz,6/22/14,1,3.9 km/hr,29.6,0,13:27,13:40,New patch created this year. This patch was clearly burned this spring.,,Anna Holtermann,Anna Holtermann
1508,235-N1-14-R1,,K235,North,1,6/21/14,Audrey McCombs,Audrey McCombs,7/2/14,Ray Moranz,Ray Moranz,6/22/14,1,4.4 km/hr,24.3,30 thin,11:14,11:28,"Created waypoint ""K235 N 1"" in all 4 of Diane's garmins.",This North patch appears to have been burned this spring of 2014. Do all Kellerton sites have few great spangleds?,Anna Holtermann,Anna Holtermann
1509,235-C1-14-R1,,K235,Center,1,6/21/14,Audrey McCombs,Audrey McCombs,7/2/14,Ray Moranz,Ray Moranz,6/22/14,1,1.9 km/hr,26.5,50 thin,12:20,12:34:30,"Created waypoint ""K235 C 1"" in all 4 of Diane's garmins.",I think This Center patch appears to have been burned last year (2013).,Anna Holtermann,Anna Holtermann
1510,235-S1-14-R1,,K235,South,1,6/21/14,Audrey McCombs,Audrey McCombs,7/2/14,Ray Moranz,Ray Moranz,6/22/14,1,4.2 km/hr,30.4,70 thin,14:25,14:42,"Created waypoint ""K235 S 1"" in all 4 of Diane's garmins. Perhaps this patch was burned two years ago (2012)? Transects prior to this miscounted deptford pink and daisy fleabane. Reduced in database by 25%.","Just after transect ended, saw 1 male REGAL nectaring on deptford pink. Sun burned thru, casting distinct shadows.",Anna Holtermann,Anna Holtermann
1511,KLN-W2-14-R1,,Kellerton North,West,2,6/21/14,Audrey McCombs,Audrey McCombs,7/2/14,Ray Moranz,Ray Moranz,6/22/14,1,7.7 km/hr,28.5,40 thin,15:52,16:03:30,1 male REGAL flew thru after transect ended.,,Anna Holtermann,Anna Holtermann
1512,KLN-C2-14-R1,,Kellerton North,Center,2,6/21/14,Audrey McCombs,Audrey McCombs,7/2/14,Audrey McCombs,Ray Moranz,6/22/14,1,3.8 km/hr,28.9,30 thin,17:15,17:39,,,Anna Holtermann,Anna Holtermann
1513,KLN-E2-14-R1,,Kellerton North,East,2,6/21/14,Ray Moranz,Audrey McCombs,7/2/14,Ray Moranz,Ray Moranz,6/22/14,1,3.8 km/hr,28.9,30 thin,17:25,17:43:30,**moved transect 25 m EAST of GPS point to get it farther from Center Patch,,Anna Holtermann,Anna Holtermann
1514,LTR-E2-14-R1,,Lee Trail Rd,East,2,6/22/14,Ray Moranz,Audrey McCombs,7/2/14,Ray Moranz,Ray Moranz,6/22/14,1,4.3 km/hr,28.5,95 thin,11:18,11:30:30,"sun strong enough to cast a shadow. Warm, very humid, very light winds.",,Anna Holtermann,Anna Holtermann
1515,LTR-W2-14-R1,,Lee Trail Rd,West,2,6/22/14,Audrey McCombs,Audrey McCombs,7/2/14,Audrey McCombs,Ray Moranz,6/22/14,1,0.5 km/hr,31.1,100 thin,11:27,11:55,"Warm, very humid, very light winds.",,Anna Holtermann,Anna Holtermann
1516,RC2-S1-14-R1,,RICH2,South,1,6/24/14,Audrey McCombs,Audrey McCombs,7/2/14,Ray Moranz,Ray Moranz,6/27/14,1,5.3 km/hr,24.4,10,9:42,9:56,very tall and dense brome in seed makes it hard to see near the ground,,Anna Holtermann,Anna Holtermann
1517,RC2-C1-14-R1,,RICH2,Center,1,6/24/14,Audrey McCombs,Audrey McCombs,7/2/14,Ray Moranz,Ray Moranz,,1,6.3 km/hr,27.2,35 thin,10:48,10:59,butterfly milkweed plant with 2 stems (neither will flower this year) is only 3m West and 1.5 m S of GPS point,,Anna Holtermann,Anna Holtermann
1518,RC2-N1-14-R1,,RICH2,North,1,6/24/14,Audrey McCombs,Audrey McCombs,7/2/14,Ray Moranz,Ray Moranz,,1,3.7 km/hr,27.6,20 thin,11:18,11:29:45,"perfect butterfly weather, but very tall, very dense smooth brome",,Anna Holtermann,Anna Holtermann
1519,RIN-W2-14-R1,,Ringgold North,West,2,6/24/14,Ray Moranz,Audrey McCombs,7/2/14,Ray Moranz,Ray Moranz,,1,2.4 km/hr,28.7,10,13:20,13:35:45,,,Anna Holtermann,Anna Holtermann
1520,RIN-E2-14-R1,,Ringgold North,East,2,6/24/14,Audrey McCombs,Audrey McCombs,7/2/14,Audrey McCombs,Ray Moranz,,1,1.1 km/hr,30.9,30,13:20,13:37,,,Anna Holtermann,Anna Holtermann
1521,RIN-S2-14-R1,,Ringgold North,South,2,6/24/14,Audrey McCombs,Audrey McCombs,7/2/14,Ray Moranz,Ray Moranz,,1,1.5 km/hr,31.2,40,14:06,14:17:30,,,Anna Holtermann,Anna Holtermann
1522,RIS-S2-14-R1,,Ringgold South,South,2,6/24/14,Ray Moranz,Audrey McCombs,7/2/14,Ray Moranz,Ray Moranz,,1,8.4 km/hr,27.5,25 thin,15:14,15:27:30,,,Anna Holtermann,Anna Holtermann
1523,RIS-C2-14-R1,,Ringgold South,Center,2,6/24/14,Audrey McCombs,Audrey McCombs,7/2/14,Ray Moranz,Ray Moranz,,1,5.6 km/hr,30.4,15,16:04,16:15:30,saw 1 CORAL hairstreak nectaring on Asclepias tuberosa just before transect started,,Anna Holtermann,Anna Holtermann
1524,RIS-N2-14-R1,,Ringgold South,North,2,6/24/14,Audrey McCombs,Audrey McCombs,7/2/14,Ray Moranz,Ray Moranz,,1,2.8 km/hr,28.4,20,17:35,17:48,saw only 2 butterfly milkweed plants blooming from this transect (and no butterflies on either),"I think this spring's fire might have drastically reduced ETB population, which you would expect to be really high based on high cover of birdsfoot trefoil.",Anna Holtermann,Anna Holtermann
1525,PYS-N2-14-R1,,Pyland South,North,2,6/25/14,Ray Moranz,Audrey McCombs,7/2/14,Ray Moranz,Ray Moranz,7/11/14,1,2.4 km/hr,25.8,5 thin,10:01,10:13:15,,,Anna Holtermann,Anna Holtermann
1526,PYW-S2-14-R1,,Pyland West,South,2,6/25/14,Audrey McCombs,Audrey McCombs,7/2/14,Audrey McCombs,Ray Moranz,7/11/14,1,0.4 km/hr,30.5,0,10:26,10:49,,,Anna Holtermann,Anna Holtermann
