Pasture,Patch,Adaptive Mgmt,Herbicide Treatment
BSH,BSH-C,H+,Spr
BSH,BSH-N,H+,Con
BSH,BSH-S,H+,SnS
DUN,DUN-C,H+,Con
DUN,DUN-E,H+,Spr
DUN,DUN-W,H+,SnS
GIL,GIL-C,GB/H+,SnS
GIL,GIL-N,GB/H+,Spr
GIL,GIL-S,GB/H+,Con
KLN,KLN-C,PBG,
KLN,KLN-E,PBG,
KLN,KLN-W,PBG,
KLT,KLT-E,BO,
KLT,KLT-S,BO,
KLT,KLT-W,BO,
LTR,LTR-C,GB/H+,Spr
LTR,LTR-E,GB/H+,SnS
LTR,LTR-W,GB/H+,Con
PAW,PAW-E,BO,
PAW,PAW-S,BO,
PAW,PAW-W,BO,
PYN,PYN-N,PBG,
PYN,PYN-S,PBG,
PYN,PYN-W,PBG,
PYS,PYS-N,PBG,
PYS,PYS-S,PBG,
PYS,PYS-W,PBG,
PYW,PYW-C,GB/H+,Spr
PYW,PYW-N,GB/H+,SnS
PYW,PYW-S,GB/H+,Con
RC2,RC2-C,H+,Spr
RC2,RC2-N,H+,SnS
RC2,RC2-S,H+,Con
RIN,RIN-E,BO,
RIN,RIN-S,BO,
RIN,RIN-W,BO,
RIS,RIS-C,PBG,
RIS,RIS-N,PBG,
RIS,RIS-S,PBG,
STE,STE-N,GB/H+,Spr
STE,STE-S,GB/H+,SnS
STE,STE-W,GB/H+,Con
