Common Name,Genus,species,Family,Subfamily,SGCN,L48 Status,Host Fam,Host Sp 1,Host Sp 2,Host Sp 3,Host Sp 4
Delaware Skipper,Anatrytone,logan,Hesperiidae,Hesperiinae,O,N,Poaceae,Andropogon gerardi,Panicum spp.,,
Least Skipper,Ancyloxypha,numitor,Hesperiidae,Hesperiinae,O,N,Poaceae,Leersia oryzoides,Poa spp.,,
Two-Spotted Skipper,Euphyes,bimacula,Hesperiidae,Hesperiinae,X,N,Cyperaceae,Carex spp.,,,
Dun Skipper,Euphyes,vestris,Hesperiidae,Hesperiinae,O,N,Unk,Unk,,,
Fiery Skipper,Hylephila,phyleus,Hesperiidae,Hesperiinae,O,N,,,,,
Peck's Skipper,Polites,peckius,Hesperiidae,Hesperiinae,O,N,Poaceae,Panicum spp.,Leersia oryzoides,,
Tawny-Edged Skipper,Polites,themistocles,Hesperiidae,Hesperiinae,O,N,Poaceae,Panicum spp.,,,
European Skipper,Thymelicus,lineola,Hesperiidae,Hesperiinae,O,E,Poaceae,Phleum pratense,,,
Silver-Spotted Skipper,Epargyreus,clarus,Hesperiidae,Pyrginae,O,N,Fabaceae,Unk,,,
Indigo Duskywing,Erynnis,baptisiae,Hesperiidae,Pyrginae,X,N,Fabaceae,Baptisia alba,Securigera varia,,
Common Sootywing,Pholisora,catullus,Hesperiidae,Pyrginae,O,N,,,,,
Southern Cloudywing,Thorybes,bathyllus,Hesperiidae,Pyrginae,O,N,,,,,
Gray Copper,Lycaena,dione,Lycaenidae,Lycaeninae,O,N,Polygonaceae,Rumex spp.,,,
Bronze Copper,Lycaena,hyllus,Lycaenidae,Lycaeninae,O,N,Polygonaceae,Rumex spp.,,,
Spring Azure,Celastrina,ladon,Lycaenidae,Polyommatinae,O,N,Adoxaceae/Rosaceae/Cornaceae/Rhamnaceae,Unk,,,
Summer Azure,Celastrina,neglecta,Lycaenidae,Polyommatinae,O,N,Adoxaceae/Rosaceae/Cornaceae/Rhamnaceae,Unk,,,
Eastern Tailed Blue,Cupido,comyntas,Lycaenidae,Polyommatinae,O,N,Fabaceae,Trifolium spp.,,,
Melissa Blue,Lycaedies,melissa,Lycaenidae,Polyommatinae,X,N,,,,,
Edward's Hairstreak,Satyrium,edwardsii,Lycaenidae,Theclinae,X,N,Fagaceae,Quercus spp.,,,
Coral Hairstreak,Satyrium,titus,Lycaenidae,Theclinae,O,N,Rosaceae,Prunus avium,Prunus americana,,
Hackberry Emperor,Asterocampa,celtis,Nymphalidae,Apaturinae,O,N,Cannabaceae,Celtis occidentalis,,,
Monarch,Danaus,plexippus,Nymphalidae,Danainae,X,N,Apocynaceae,Unk,,,
Meadow Fritillary,Boloria,bellona,Nymphalidae,Heliconiinae,O,N,Violaceae,Unk,,,
Variegated Fritillary,Euptoeita,claudia,Nymphalidae,Heliconiinae,O,N,Violaceae,Unk,,,
