Common Name,Genus,species,Family,Seedmix,L48 Status,Bfly Resource,Bee Resource,Other Common Names
Prairie Petunia,Ruellia,humilis,Acanthaceae,X,N,,,
Wild Garlic,Allium,ursinum,Amaryllidaceae,O,E,,,
Queen Anne's Lace,Daucus,carota,Apiaceae,O,E,X,X,
Rattlesnake Master,Eryngium,yuccifolium,Apiaceae,X,N,X,X,
Wild Parsnip,Pastinaca,sativa,Apiaceae,O,E,X,X,
Golden Alexander,Zizia,aurea,Apiaceae,X,N,X,X,
Dogbane,Apocynum,cannabinum,Apocynaceae,O,N,X,X,
Antelope Horns,Asclepias,asperula,Apocynaceae,O,N,,,
Tall Green Milkweed,Asclepias,hirtella,Apocynaceae,O,N,,,
Swamp Milkweed,Asclepias,incarnata,Apocynaceae,X,N,X,X,
Purple Milkweed,Asclepias,purpurascens,Apocynaceae,O,N,,,
Common Milkweed,Asclepias,syriaca,Apocynaceae,X,N,X,X,
Butterfly Milkweed,Asclepias,tuberosa,Apocynaceae,X,N,X,X,
Whorled Milkweed,Asclepias,verticillata,Apocynaceae,O,N,O,X,
Yarrow,Achillea,millefollium,Asteraceae,O,N,X,X,
Pussy Toes,Antennaria,plantaginifolia,Asteraceae,O,N,,,
Musk Thistle,Carduus,nutans,Asteraceae,O,E,,,
Chicory,Cichorium,intybus,Asteraceae,O,E,,,
Prairie Coreopsis,Coreopsis,palmata,Asteraceae,X,N,X,X,
Tall Coreopsis,Coreopsis,tripteris,Asteraceae,X,N,,,
Pale Purple Coneflower,Echinacea,pallida,Asteraceae,X,N,X,X,
Purple Coneflower,Echinacea,purpurea,Asteraceae,X,N,,,
Daisy Fleabane,Erigeron,annuus,Asteraceae,O,N,,,
Tall boneset,Eupatorium,altissimum,Asteraceae,X,N,,,
Sawtooth Sunflower,Helianthus,grosseserratus,Asteraceae,O,N,X,X,
Oxeye Sunflower,Heliopsis,helianthoides,Asteraceae,X,N,X,X,False Sunflower
Hawkweed,Hieracium,lachenalii,Asteraceae,O,E,,,
Oxeye Daisy,Leucanthemum,vulgare,Asteraceae,O,E,,,
Cylindrical blazing star,Liatris,cylindracea,Asteraceae,X,N,,,
Prairie Blazing Star,Liatris,pycnostachya,Asteraceae,X,N,X,X,
Prairie Ragwort,Packera,plattensis,Asteraceae,O,N,,,
Wild Quinine,Parthenium,integrifolium,Asteraceae,X,N,,,
Grey-Headed Coneflower,Ratibida,pinnata,Asteraceae,X,N,X,X,
Black-Eyed Susan,Rudbeckia,hirta,Asteraceae,X,N,X,X,
Sweet black-eyed susan,Rudbeckia,subtomentosa,Asteraceae,X,N,X,X,
Rosinweed,Silphium,integrifolium,Asteraceae,X,N,X,X,
Compass Plant,Silphium,laciniatum,Asteraceae,O,N,X,X,
Cup plant,Silphium,perfoliatum,Asteraceae,X,N,X,X,
Old Field Goldenrod,Solidago,nemoralis,Asteraceae,O,N,,,
Stiff goldenrod,Solidago,rigida,Asteraceae,X,N,,X,
Showy Goldenrod,Solidago,speciosa,Asteraceae,O,N,,,
New England Aster,Symphyotrichum,novae-angliae,Asteraceae,O,N,,,
Sky-blue aster,Symphyotrichum,oolentangiense,Asteraceae,X,N,,,
Silky aster,Symphyotrichum,sericeus,Asteraceae,X,N,,,
Dandelion,Taraxacum,officinale,Asteraceae,O,N,X,X,
