"Butterfly.Common.Name","Butterfly.Scientific.Name","14","15","16","17","18"
"american lady","Vanessa virginiensis",9,1,1,1,1
"black swallowtail","Papilio polyxenes",1,5,10,2,7
"cabbage white","Pieris rapae",12,167,116,62,25
"clouded sulphur","Colias philodice",157,172,105,49,40
"common wood nymph","Cercyonis pegala",22,8,13,13,5
"eastern tailed blue","Cupido comyntas",251,13,115,105,41
"eastern tiger swallowtail","Papilio glaucus",8,0,1,2,3
"gray copper","Lycaena dione",2,0,0,0,2
"great spangled fritillary","Speyeria cybele",9,23,4,10,22
"little wood satyr","Megisto cymela",3,0,0,0,0
"little yellow","Pyrisitia lisa",5,0,0,0,8
"meadow fritillary","Boloria bellona",8,3,41,29,37
"monarch","Danaus plexippus",16,14,1,13,22
"orange sulphur","Colias eurytheme",89,73,238,129,74
"pearl crescent","Phyciodes tharos",16,20,39,98,34
"red admiral","Vanessa atalanta",1,6,1,1,0
"regal fritillary","Speyeria idalia",7,10,2,1,10
"silver-spotted skipper","Epargyreus clarus",1,1,7,1,14
"silvery checkerspot","Chlosyne nycteis",1,0,2,2,10
"summer azure","Celastrina neglecta",1,0,1,0,0
"tawny-edged skipper","Polites themistocles",5,0,6,10,6
"bronze copper","Lycaena hyllus",0,1,3,0,0
"common buckeye","Junonia coenia",0,3,23,38,2
"coral hairstreak","Satyrium titus",0,1,0,0,0
"eastern comma","Polygonia comma",0,1,0,1,0
"european skipper","Thymelicus lineola",0,1,0,0,0
"giant swallowtail","Papilio cresphontes",0,1,5,1,3
"painted lady","Vanessa cardui",0,4,0,2,0
"question mark","Polygonia interrogationis",0,1,1,0,0
"viceroy","Limenitis archippus",0,2,2,1,0
"delaware skipper","Anatrytone logan",0,0,1,1,1
"dun skipper","Euphyes vestris",0,0,1,0,0
"gorgone checkerspot","Chlosyne gorgone",0,0,1,0,0
"indigo duskywing","Erynnis baptisiae",0,0,2,0,1
"least skipper","Ancyloxypha numitor",0,0,1,1,0
"peck's skipper","Polites peckius",0,0,4,6,2
"red-spotted purple","Limenitis arthemis",0,0,1,0,0
"southern cloudywing","Thorybes bathyllus",0,0,0,0,2
"variegated fritillary","Euptoeita claudia",0,0,0,0,2
