"Year","Common Name","Scientific Name","Status","Con","Spr","SnS"
14,"alsike clover","Trifolium hybridum","E",647,1,808
15,"alsike clover","Trifolium hybridum","E",11,NA,NA
16,"alsike clover","Trifolium hybridum","E",NA,25,NA
17,"alsike clover","Trifolium hybridum","E",NA,523,550
18,"alsike clover","Trifolium hybridum","E",12,8,NA
18,"antelope horns","Asclepias asperula","N",1,NA,1
14,"birdsfoot trefoil","Lotus corniculatus","E",3681,2334,3164
15,"birdsfoot trefoil","Lotus corniculatus","E",3424,1125,2592
16,"birdsfoot trefoil","Lotus corniculatus","E",2591,3324,3267
17,"birdsfoot trefoil","Lotus corniculatus","E",7824,8596,8778
18,"birdsfoot trefoil","Lotus corniculatus","E",10370,5286,4410
14,"black medick","Medicago lupulina","E",16,376,52
16,"black medick","Medicago lupulina","E",57,122,198
17,"black medick","Medicago lupulina","E",132,264,156
18,"black medick","Medicago lupulina","E",27,21,174
15,"black-eyed susan","Rudbeckia hirta","N",7,2,7
16,"black-eyed susan","Rudbeckia hirta","N",25,153,214
17,"black-eyed susan","Rudbeckia hirta","N",15,44,37
18,"black-eyed susan","Rudbeckia hirta","N",30,31,6
14,"blue-eyed grass","Sisyrinchium angustifolium","N",NA,NA,1
17,"blue-eyed grass","Sisyrinchium angustifolium","N",3,4,4
17,"broadleaf plantain","Plantago major","E",1,40,412
14,"butterfly milkweed","Asclepias tuberosa","N",NA,17,NA
16,"butterfly milkweed","Asclepias tuberosa","N",NA,5,1
18,"butterfly milkweed","Asclepias tuberosa","N",NA,7,NA
17,"canada anemone","Anemone canadensis","N",NA,NA,9
18,"canada anemone","Anemone canadensis","N",2,NA,NA
17,"catnip","Nepetia cataria","E",NA,NA,3
18,"catnip","Nepetia cataria","E",NA,NA,1
14,"chickweed","Stellaria media","E",NA,1,NA
15,"chickweed","Stellaria media","E",7,1,3
17,"chickweed","Stellaria media","E",NA,9,NA
14,"chicory","Cichorium intybus","E",NA,1,NA
15,"chicory","Cichorium intybus","E",NA,NA,9
16,"chicory","Cichorium intybus","E",NA,1,110
17,"chicory","Cichorium intybus","E",11,15,83
18,"chicory","Cichorium intybus","E",215,19,63
14,"common cinquefoil","Potentilla simplex","N",1,3,1
16,"common cinquefoil","Potentilla simplex","N",NA,3,NA
17,"common cinquefoil","Potentilla simplex","N",29,NA,11
18,"common cinquefoil","Potentilla simplex","N",1,NA,1
18,"common milkweed","Asclepias syriaca","N",4,NA,NA
